Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30339, USA",,04/01/2019,61.5,32.6,48.5,31.2,,0,,10.8,,19.1,38.96,Clear
,"30339, USA",,04/02/2019,61.4,45.9,52.4,41.6,,0,,10,,52.5,40.56,Partially cloudy
,"30339, USA",,04/03/2019,72.4,37.3,55.2,,,0,,6,,37.1,51.39,Partially cloudy
,"30339, USA",,04/04/2019,69.1,44.3,58.8,,,0.1,,15.2,,48.3,55.28,"Rain, Partially cloudy"
,"30339, USA",,04/05/2019,73.2,54.2,62.5,,,0.3,,10.8,,89.7,83,"Rain, Overcast"
,"30339, USA",,04/06/2019,72.9,57.7,64.2,,,0,,8.6,,85.3,80.75,Overcast
,"30339, USA",,04/07/2019,79.1,60.3,68.9,,,1,,10.5,,62.5,79.35,"Rain, Partially cloudy"
,"30339, USA",,04/08/2019,74.3,63.6,68,,,0.1,,10.6,,63.2,88.39,"Rain, Partially cloudy"
,"30339, USA",,04/09/2019,73.3,60.5,66.2,,,0.7,,9.1,,76.1,88.72,"Rain, Overcast"
,"30339, USA",,04/10/2019,81.7,53.5,67.8,,80.6,0,,6.7,,11.2,68.17,Clear
,"30339, USA",,04/11/2019,81.1,58.4,70.2,,80,0,,18,,46.7,62.52,Partially cloudy
,"30339, USA",,04/12/2019,77.5,65.7,71.1,,,0,,13.5,,75.6,71.94,Overcast
,"30339, USA",,04/13/2019,81.1,60.4,70,,80.9,0,,13,,51.7,70.58,Partially cloudy
,"30339, USA",,04/14/2019,77.7,56.4,69.8,,,1.4,,21.1,36.9,72.7,78.73,"Rain, Partially cloudy"
,"30339, USA",,04/15/2019,65.9,44.2,54.5,38.7,,0,,17.8,35.6,29.4,53.16,Partially cloudy
,"30339, USA",,04/16/2019,75.6,42.3,59.3,,,0,,7.9,,16.9,54.79,Clear
,"30339, USA",,04/17/2019,79.7,48.8,65,,,0,,8.1,,42.4,59.15,Partially cloudy
,"30339, USA",,04/18/2019,78.9,61,70.1,,,0,,18.2,,56.2,64,Partially cloudy
,"30339, USA",,04/19/2019,71.5,46.5,60.9,40.7,,4.4,,16.6,36.7,90.3,87.52,"Rain, Overcast"
,"30339, USA",,04/20/2019,49,42.8,46,37.3,,0.3,,17,29.8,94.3,85.35,"Rain, Overcast"
,"30339, USA",,04/21/2019,71.4,41.9,55.7,37.4,,0,,15.3,29.8,6.9,59.94,Clear
,"30339, USA",,04/22/2019,80.6,44,62,,79.4,0,,7.2,,5.8,57.77,Clear
,"30339, USA",,04/23/2019,82,51.8,67.7,,80.6,0,,10.4,,36.9,59.45,Partially cloudy
,"30339, USA",,04/24/2019,82.8,59.9,70.8,,81.2,0,,11.9,,33,54.93,Partially cloudy
,"30339, USA",,04/25/2019,74.3,59.8,66.3,,,0,,15.1,,57.4,72.64,Partially cloudy
,"30339, USA",,04/26/2019,72.6,59.4,64.8,,,0.1,,20.7,39.6,55.2,62.19,"Rain, Partially cloudy"
,"30339, USA",,04/27/2019,77.5,46,63.8,43.4,,0,,11.7,,15.8,40.56,Clear
,"30339, USA",,04/28/2019,81.2,57.8,69.1,,81.4,0,,12.8,,53.2,58.15,Partially cloudy
,"30339, USA",,04/29/2019,84.4,59.5,71.9,,83.6,0,,8.9,,26.2,66.94,Partially cloudy
,"30339, USA",,04/30/2019,84.9,58.6,72.9,,84.8,0,,9.7,,27.3,63.96,Partially cloudy
,"30339, USA",,05/01/2019,82.2,66.3,73.9,,83.8,0,,9.6,,51.2,70.75,Partially cloudy
,"30339, USA",,05/02/2019,82.7,65.1,74.2,,81.8,0,,10.1,,26.2,62.22,Partially cloudy
,"30339, USA",,05/03/2019,82.7,65,73.5,,84.3,0,,8.4,,54.1,72.15,Partially cloudy
