Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30315, USA",,10/01/2019,92.5,72.8,82.5,,96.6,0,,6.9,,20.6,61.34,Clear
,"30315, USA",,10/02/2019,94.5,72.3,83.2,,96.8,0,,7.7,,14.3,59.9,Clear
,"30315, USA",,10/03/2019,96.3,73.2,84.9,,97.4,0,,7.9,,19,55.3,Clear
,"30315, USA",,10/04/2019,96.4,71.8,83.8,,95.6,0,,8.7,,23.3,50.84,Clear
,"30315, USA",,10/05/2019,80.7,66.8,75.7,,82.6,0,,20.8,32.2,63.7,65.19,Partially cloudy
,"30315, USA",,10/06/2019,79.2,61.9,69,,,0,,14.9,,87.7,74.65,Overcast
,"30315, USA",,10/07/2019,80.3,65.8,72.7,,81.5,0,,7.7,,68.4,70.68,Partially cloudy
,"30315, USA",,10/08/2019,81.1,65.2,72,,82,0,,10.5,,64.5,71.96,Partially cloudy
,"30315, USA",,10/09/2019,75.4,64.9,68.8,,,0,,12.4,,69.5,72.82,Partially cloudy
,"30315, USA",,10/10/2019,77.8,60.9,67.9,,,0,,9.8,,39.5,71.41,Partially cloudy
,"30315, USA",,10/11/2019,79.4,58.1,68.4,,,0,,5.6,,28.7,63.28,Partially cloudy
,"30315, USA",,10/12/2019,79.2,60.2,69.7,,,0,,10.9,,63.3,61.22,Partially cloudy
,"30315, USA",,10/13/2019,65.9,60.5,63.1,,,0.2,,8.4,,93.9,85.16,"Rain, Overcast"
,"30315, USA",,10/14/2019,77.4,52.8,64.8,,,0,,7.7,,48.6,65.17,Partially cloudy
,"30315, USA",,10/15/2019,71.3,63.4,66.3,,,0.3,,8.5,,97.6,79.17,"Rain, Overcast"
,"30315, USA",,10/16/2019,71.1,55.9,64.4,,,0.4,,17.7,34.4,79.3,77.14,"Rain, Overcast"
,"30315, USA",,10/17/2019,66,45.4,54.9,40.8,,0,,14,,29.9,55.46,Partially cloudy
,"30315, USA",,10/18/2019,66,45,55.8,42.7,,0,,11.2,,51.4,59.67,Partially cloudy
,"30315, USA",,10/19/2019,59.9,52.7,55.7,,,1.2,,17.7,29.8,82.8,79.53,"Rain, Overcast"
,"30315, USA",,10/20/2019,71.6,55.9,62.6,,,0,,12.2,,69.6,83.29,Partially cloudy
,"30315, USA",,10/21/2019,75.6,56.7,66.2,,,0,,10.1,,53.6,79.68,Partially cloudy
,"30315, USA",,10/22/2019,71.5,55.7,65.1,,,0.2,,21.3,34.4,57.8,63.15,"Rain, Partially cloudy"
,"30315, USA",,10/23/2019,67.9,45.8,56.5,43.3,,0,,10.2,,13.1,52.86,Clear
,"30315, USA",,10/24/2019,69.5,46.5,58.2,44.1,,0,,9.2,,22.4,56.85,Clear
,"30315, USA",,10/25/2019,70.8,60.9,64.9,,,0,,11.8,,87.6,70.09,Overcast
,"30315, USA",,10/26/2019,74.9,66.6,69.7,,,0.1,,12.9,,91.3,87.2,"Rain, Overcast"
,"30315, USA",,10/27/2019,73,56.7,64.5,,,0.1,,12.7,,36.1,76.3,"Rain, Partially cloudy"
,"30315, USA",,10/28/2019,75.3,50.1,60.6,,,0,,6.1,,23.3,77.21,Clear
,"30315, USA",,10/29/2019,70.7,56.2,63.8,,,0,,8,,75.4,80.53,Overcast
,"30315, USA",,10/30/2019,72.8,65.7,69.1,,,1,,12.5,,94.6,93.4,"Rain, Overcast"
,"30315, USA",,10/31/2019,75.3,38.8,62.3,29.9,,0.3,,21,44,91.9,83.99,"Rain, Overcast"
,"30315, USA",,11/01/2019,56.7,34.4,43.7,25.5,,0,,17.8,36.7,10.4,62.97,Clear
,"30315, USA",,11/02/2019,58.5,36.1,46.3,32.8,,0,,16,,20.8,65.55,Clear
,"30315, USA",,11/03/2019,60.9,35.8,47.4,31.9,,0,,6.1,,14.3,59.58,Clear
,"30315, USA",,11/04/2019,60.8,40.2,50.6,37.7,,0,,9,,67.5,63.25,Partially cloudy
,"30315, USA",,11/05/2019,68.9,53.5,58.5,,,0,,9.9,,64.5,64.58,Partially cloudy
,"30315, USA",,11/06/2019,70.7,45.4,57.5,42.8,,0,,9.9,,9.7,65.42,Clear
,"30315, USA",,11/07/2019,66.7,53.9,60.3,,,0.6,,16.1,31.7,92.9,78.61,"Rain, Overcast"
,"30315, USA",,11/08/2019,57.3,39,48.3,35.1,,0.1,,15,,60.6,70.58,"Rain, Partially cloudy"
,"30315, USA",,11/09/2019,54.3,35.1,43.6,28.8,,0,,10.5,,10.7,61.69,Clear
,"30315, USA",,11/10/2019,64.7,36.3,49.6,44.4,,0,,7.7,,13.3,64.58,Clear
,"30315, USA",,11/11/2019,66.3,41.4,54.1,,,0,,8.6,,53.1,67.62,Partially cloudy
,"30315, USA",,11/12/2019,56.2,26.3,40.3,16,,0.4,,24.3,39.1,67.6,75.79,"Rain, Partially cloudy"
,"30315, USA",,11/13/2019,46.7,23.5,34.3,15.5,,0,,11,,16.1,52.87,Clear
,"30315, USA",,11/14/2019,43.7,34.3,39.7,26.8,,0.1,,10,,92.5,61.22,"Rain, Overcast"
,"30315, USA",,11/15/2019,48.2,42.5,45.4,37.4,,0.6,,11.3,,99.2,89.75,"Rain, Overcast"
,"30315, USA",,11/16/2019,63.8,40,50.2,34.6,,0,,10.8,,68.1,61.71,Partially cloudy
,"30315, USA",,11/17/2019,64.4,44.8,54.4,42.4,,0,,5.5,,82.7,62.62,Overcast
,"30315, USA",,11/18/2019,62.3,47.9,54.4,44.4,,0,,9.3,,56.1,64.88,Partially cloudy
,"30315, USA",,11/19/2019,62.5,44,51.1,39.9,,0,,9.1,,41.8,61.19,Partially cloudy
,"30315, USA",,11/20/2019,63.7,42.8,51.6,39.1,,0,,12,,16.6,57.81,Clear
,"30315, USA",,11/21/2019,64.6,42.1,53.2,42.5,,0,,8.2,,41.3,61.04,Partially cloudy
,"30315, USA",,11/22/2019,65.4,47.9,57.1,,,0,,9.4,,76.4,74.23,Overcast
,"30315, USA",,11/23/2019,65.1,47.5,59.5,41.2,,0.7,,19.3,34.1,86.6,85.04,"Rain, Overcast"
,"30315, USA",,11/24/2019,53.1,40.6,46.6,36.3,,0,,16,35.6,33.9,67.19,Partially cloudy
,"30315, USA",,11/25/2019,62.6,35.4,47,31.6,,0,,6.6,,13,68.66,Clear
,"30315, USA",,11/26/2019,64.9,37.7,51.9,,,0,,9.5,,40.5,68.53,Partially cloudy
,"30315, USA",,11/27/2019,74.9,52.6,63.5,,,0.3,,14.9,34.4,65.5,60.18,"Rain, Partially cloudy"
,"30315, USA",,11/28/2019,62,43.7,52,37.6,,0,,16.8,,29.9,43.57,Partially cloudy
,"30315, USA",,11/29/2019,67.5,49.3,56.5,46.8,,0,,8.7,,75.6,48.94,Overcast
,"30315, USA",,11/30/2019,73.6,52,62,,,0,,12.1,,70,58.18,Partially cloudy
,"30315, USA",,12/01/2019,66.2,48.7,61.2,42.6,,0,,21.1,39.5,49.5,51.1,Partially cloudy
,"30315, USA",,12/02/2019,47.8,37.9,41.7,28.6,,0,,20.2,32.8,89.7,54.27,Overcast
,"30315, USA",,12/03/2019,46.4,35.1,39.7,26.3,,0,,17.2,,66.9,62.65,Partially cloudy
,"30315, USA",,12/04/2019,59.5,34.7,46,29.3,,0,,16.4,,14,55.58,Clear
,"30315, USA",,12/05/2019,63.9,39,50.6,35,,0,,8.4,,30.3,45.99,Partially cloudy
,"30315, USA",,12/06/2019,59.2,44.9,51.5,,,0,,6.6,,83.5,53.8,Overcast
,"30315, USA",,12/07/2019,61.5,48.9,54.8,47.4,,0,,8.3,,90.5,58.8,Overcast
,"30315, USA",,12/08/2019,56.5,46.6,51.7,41.2,,0,,14.8,,86.8,58.17,Overcast
,"30315, USA",,12/09/2019,56.8,47.6,51.9,43.9,,0,,10.6,,98.9,69.84,Overcast
,"30315, USA",,12/10/2019,66.7,40.3,55.2,33,,0.2,,21.5,32.2,92.3,82.2,"Rain, Overcast"
,"30315, USA",,12/11/2019,51.7,34.6,40.6,27.4,,0,,13.2,,42.7,61.38,Partially cloudy
,"30315, USA",,12/12/2019,51.3,32,41.2,25.8,,0.1,,17.6,,42.1,59.18,"Rain, Partially cloudy"
,"30315, USA",,12/13/2019,43.8,37.6,40.4,29.3,,1.9,,14.2,,85.6,90.83,"Rain, Overcast"
,"30315, USA",,12/14/2019,54.2,43.4,46.8,39.8,,0.1,,15.3,,63.8,79.49,"Rain, Partially cloudy"
,"30315, USA",,12/15/2019,56.3,40.8,48.9,41,,0,,9,,63.6,80.43,Partially cloudy
,"30315, USA",,12/16/2019,69.8,54.2,60.5,,,0,,13.2,,85.7,74.05,Overcast
,"30315, USA",,12/17/2019,63.8,39.6,52.6,31.2,,0.4,,18,33.9,95.7,83.64,"Rain, Overcast"
,"30315, USA",,12/18/2019,47.3,30.7,38.1,21.5,,0,,18.2,32.2,6.5,54.29,Clear
,"30315, USA",,12/19/2019,52.2,28.6,39.2,22.8,,0,,9.2,,2.1,55.07,Clear
,"30315, USA",,12/20/2019,55.2,30.7,42.6,26.5,,0,,8.6,,38.1,50.88,Partially cloudy
,"30315, USA",,12/21/2019,48.9,43.8,46.2,40.1,,0,,11.3,,92.7,54.82,Overcast
,"30315, USA",,12/22/2019,46.9,41.5,43.4,33.1,,1.4,,21.6,39.1,99.9,81.43,"Rain, Overcast"
,"30315, USA",,12/23/2019,56.8,46.4,52,39.3,,0.5,,19.6,36.7,100,89.31,"Rain, Overcast"
,"30315, USA",,12/24/2019,70.2,51.6,60,,,0,,12.5,,54.3,74.29,Partially cloudy
,"30315, USA",,12/25/2019,64.6,43.8,52.8,40.2,,0,,8.9,,38.6,66.14,Partially cloudy
,"30315, USA",,12/26/2019,64.4,38.8,51.6,37.3,,0,,4.9,,51.2,68.78,Partially cloudy
,"30315, USA",,12/27/2019,63.9,51.3,57.7,,,0,,7.7,,93.1,69.69,Overcast
,"30315, USA",,12/28/2019,67.9,55,60.4,,,0,,9.9,,89.4,84.73,Overcast
,"30315, USA",,12/29/2019,69.8,61.8,66.5,,,0.1,,14,,94.8,88.96,"Rain, Overcast"
,"30315, USA",,12/30/2019,69,47.1,56.8,42.5,,0.1,,18,39.1,35.6,58.99,"Rain, Partially cloudy"
,"30315, USA",,12/31/2019,54.8,38.4,46,33,,0,,19.2,30.8,1.5,54.91,Clear
