Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30312, USA",,01/01/2019,65.1,56.4,61.5,,,0.2,,6.1,,74.1,90.3,"Rain, Partially cloudy"
,"30312, USA",,01/02/2019,57,49,52.4,46.3,,0.4,,7.3,,75.9,91.8,"Rain, Overcast"
,"30312, USA",,01/03/2019,54.3,50.1,52.5,,,0.3,,10.6,,99.5,95.95,"Rain, Overcast"
,"30312, USA",,01/04/2019,64.8,45.1,54.5,40.1,,1.2,,18.9,33.6,87.3,86.19,"Rain, Overcast"
,"30312, USA",,01/05/2019,57.8,43.7,48.8,36.4,,0,,17.1,33.3,40.2,64.92,Partially cloudy
,"30312, USA",,01/06/2019,68.5,41.6,52.8,38.2,,0,,7.6,,8,62.19,Clear
,"30312, USA",,01/07/2019,67.9,40.8,53.3,45.1,,0,,10.3,,26.8,67.52,Partially cloudy
,"30312, USA",,01/08/2019,64.5,48.9,56.1,48.1,,0,,10.7,,61,77.43,Partially cloudy
,"30312, USA",,01/09/2019,56.1,39.3,46.7,30.3,,0,,20.4,33.5,3.2,41.08,Clear
,"30312, USA",,01/10/2019,44.6,29.1,36.2,19.2,,0,,16.5,34.4,15.9,50.48,Clear
,"30312, USA",,01/11/2019,53,28,40.3,23.9,,0,,7.7,,17.5,49.96,Clear
,"30312, USA",,01/12/2019,42.8,37.2,40.7,29.3,,0.3,,12.6,,94.6,60.15,"Rain, Overcast"
,"30312, USA",,01/13/2019,45.9,35.1,40.1,28,,0.2,,9.9,,99.7,91.84,"Rain, Overcast"
,"30312, USA",,01/14/2019,45.3,39.3,43.1,31.8,,0,,13.4,,99.6,79.38,Overcast
,"30312, USA",,01/15/2019,44.3,32.9,37.8,27.1,,0,,12.5,,61.5,72.75,Partially cloudy
,"30312, USA",,01/16/2019,52.5,29.7,38.6,22.2,,0,,9.2,,23.2,74.8,Clear
,"30312, USA",,01/17/2019,47.8,32,40.4,42.1,,0.1,,5.1,,65.4,88.93,"Rain, Partially cloudy"
,"30312, USA",,01/18/2019,56.4,45.8,49.7,44.3,,0,,4.7,,77.5,91.37,Overcast
,"30312, USA",,01/19/2019,62.4,48.2,55.3,,,1,,14.5,,85.7,94.67,"Rain, Overcast"
,"30312, USA",,01/20/2019,52.7,28.7,35.6,17.9,,0,,22.4,37.8,64,67.57,Partially cloudy
,"30312, USA",,01/21/2019,42.8,21,30.8,11.1,,0,,15.6,,12,45.93,Clear
,"30312, USA",,01/22/2019,44.1,29.8,37.4,21.3,,0,,11.7,,64.9,37.87,Partially cloudy
,"30312, USA",,01/23/2019,66.8,41.8,52.6,35.8,,1.5,,16.2,35.6,97.8,70.69,"Rain, Overcast"
,"30312, USA",,01/24/2019,53.8,34.1,42.3,27.2,,0.3,,20.5,39.2,63.7,79.37,"Rain, Partially cloudy"
,"30312, USA",,01/25/2019,46.2,30.4,37,23.5,,0,,14.7,,17.4,59.09,Clear
,"30312, USA",,01/26/2019,50.6,26.2,37,22.6,,0,,11.4,,8.3,61.91,Clear
,"30312, USA",,01/27/2019,50.5,30.5,39.6,46.9,,0,,4.7,,32.4,73.76,Partially cloudy
,"30312, USA",,01/28/2019,57,30.2,43.9,44.8,,0,,12.8,,45.2,68.07,Partially cloudy
,"30312, USA",,01/29/2019,50.5,28.1,40.6,18.6,,0.1,,16.6,29.8,65.7,64.61,"Rain, Partially cloudy"
,"30312, USA",,01/30/2019,42.8,22.4,31.7,15.9,,0,,15.1,30.4,20.9,48.95,Clear
,"30312, USA",,01/31/2019,51.2,25.9,37,25.3,,0,,8.3,,20.5,53.32,Clear
,"30312, USA",,02/01/2019,60.8,30.2,43.6,,,0,,7.4,,20.9,55.33,Clear
,"30312, USA",,02/02/2019,64.7,34.6,50.7,32.6,,0,,7.4,,50.7,64.87,Partially cloudy
,"30312, USA",,02/03/2019,63.3,47.4,55.4,,,0,,7.5,,72.4,71.53,Partially cloudy
,"30312, USA",,02/04/2019,65.1,40.1,52.6,,,0,,6.2,,52.5,82.27,Partially cloudy
,"30312, USA",,02/05/2019,71.8,54.3,61.8,,,0,,6.2,,78,82.95,Overcast
,"30312, USA",,02/06/2019,70.2,56.9,63.2,,,0.1,,9.5,,83.4,91.18,"Rain, Overcast"
,"30312, USA",,02/07/2019,79.2,62.6,69.5,,,0,,15.5,31.1,49.7,72.49,Partially cloudy
,"30312, USA",,02/08/2019,67.4,42.2,53.1,35.5,,0,,18.6,32.2,57.2,56.31,Partially cloudy
,"30312, USA",,02/09/2019,54.1,37.4,44.7,31.3,,0,,13.6,31.1,69.2,41.63,Partially cloudy
,"30312, USA",,02/10/2019,44.8,37.2,40,30.2,,0.1,,14.4,,82.8,65.4,"Rain, Overcast"
,"30312, USA",,02/11/2019,55.1,37.1,45.3,32.4,,0.1,,5.9,,97.1,95.77,"Rain, Overcast"
,"30312, USA",,02/12/2019,68.9,49,57.4,42.6,,0.8,,18.6,33.7,79.6,91.2,"Rain, Overcast"
,"30312, USA",,02/13/2019,54.8,36.5,44.8,30.8,,0,,17,33.3,17.5,49.56,Clear
,"30312, USA",,02/14/2019,63.9,33.1,48.3,45,,0,,11.2,,37.1,51.45,Partially cloudy
,"30312, USA",,02/15/2019,59.5,49.7,55.1,47.2,,0.2,,9.4,,88.3,80.61,"Rain, Overcast"
,"30312, USA",,02/16/2019,60.5,47.7,55.6,46.3,,0.1,,12.5,,76.6,86.12,"Rain, Overcast"
,"30312, USA",,02/17/2019,50.1,45.9,48.2,42.3,,0.1,,9.8,,81,94,"Rain, Overcast"
,"30312, USA",,02/18/2019,58,45.6,49.4,41.1,,0.1,,14.3,,63.3,68.2,"Rain, Partially cloudy"
,"30312, USA",,02/19/2019,47.1,37.4,42.1,28.4,,1.4,,16.3,33.3,99.1,79.22,"Rain, Overcast"
