Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30331, USA",,04/01/2019,61.5,33.5,48.6,33.6,,0,,12,,16.2,41.22,Clear
,"30331, USA",,04/02/2019,62.6,46.8,53.2,42.2,,0,,10.7,,55.3,41.2,Partially cloudy
,"30331, USA",,04/03/2019,71.9,38.1,55.6,,,0,,6.7,,17.5,53.08,Clear
,"30331, USA",,04/04/2019,70.6,44.2,59,,,0.1,,13.7,,37.6,59.39,"Rain, Partially cloudy"
,"30331, USA",,04/05/2019,75,55.9,63.6,,,0.2,,11.4,,80.2,82.79,"Rain, Overcast"
,"30331, USA",,04/06/2019,73.2,57.8,64.6,,,0,,9.2,,78.9,82.59,Overcast
,"30331, USA",,04/07/2019,79.7,60.6,69.6,,,0.8,,9.8,,57.6,79.79,"Rain, Partially cloudy"
,"30331, USA",,04/08/2019,74.7,62.5,68.5,,,0,,13.6,,60.6,88.06,Partially cloudy
,"30331, USA",,04/09/2019,74.2,62.4,66.4,,,0.5,,8.4,32.2,73.8,89.13,"Rain, Partially cloudy"
,"30331, USA",,04/10/2019,82.1,54.4,68,,81,0,,7.2,,9.7,69.11,Clear
,"30331, USA",,04/11/2019,81.8,57.4,70.4,,80.7,0.1,,16.7,,27.3,64.57,"Rain, Partially cloudy"
,"30331, USA",,04/12/2019,78.1,65.8,71.7,,,0.1,,14.6,,65.5,73.4,"Rain, Partially cloudy"
,"30331, USA",,04/13/2019,82.1,60.8,70.4,,81.7,0,,13,,35.1,71.94,Partially cloudy
,"30331, USA",,04/14/2019,78.2,57.7,70.6,,,1.3,,20.8,40.3,78.5,78.82,"Rain, Overcast"
,"30331, USA",,04/15/2019,66,45.1,55,40.7,,0,,18.3,35,28.2,55.41,Partially cloudy
,"30331, USA",,04/16/2019,75.6,44.2,59.6,,,0,,8.3,,7.9,56.93,Clear
,"30331, USA",,04/17/2019,80.6,50,65.5,,80,0,,8.6,,25.1,61.51,Partially cloudy
,"30331, USA",,04/18/2019,79.5,60.7,70.9,,,0,,15.8,,50.6,64.28,Partially cloudy
,"30331, USA",,04/19/2019,71.7,47.6,61.7,42.9,,3.9,,16.5,40.3,93,87.07,"Rain, Overcast"
,"30331, USA",,04/20/2019,51,43.9,47.1,38.5,,0.1,,13,32.2,98.4,85.08,"Rain, Overcast"
,"30331, USA",,04/21/2019,71.9,41.8,56.7,41,,0,,15.8,,10,59.28,Clear
,"30331, USA",,04/22/2019,80.9,45.4,62.8,46.7,79.5,0,,9.3,,4.4,58.36,Clear
,"30331, USA",,04/23/2019,82.1,52.1,68,,80.8,0,,10.4,,18.1,61.61,Clear
,"30331, USA",,04/24/2019,82.8,59.5,71,,81.3,0,,12.6,,20.4,57.4,Clear
,"30331, USA",,04/25/2019,74.4,60.5,66.4,,,0,,12.8,,39.2,75.28,Partially cloudy
,"30331, USA",,04/26/2019,73.1,59.1,65.5,,,0,,20.9,40.5,50.8,63.16,Partially cloudy
,"30331, USA",,04/27/2019,77.9,47,63.4,47.9,,0,,10.9,,7.5,46.1,Clear
,"30331, USA",,04/28/2019,80.7,56.3,68.8,,81.4,0,,9.9,,38.4,62.7,Partially cloudy
,"30331, USA",,04/29/2019,84,60.1,72.6,,83.6,0,,11.1,,24,67.42,Clear
,"30331, USA",,04/30/2019,85.7,58.7,73.1,,85.8,0,,10,,22.5,65.59,Clear
,"30331, USA",,05/01/2019,83.5,65.4,74.2,,85.5,0,,9.1,,44.3,72.02,Partially cloudy
,"30331, USA",,05/02/2019,82.8,64.7,75.1,,82.3,0,,9.7,,20.2,62.28,Clear
,"30331, USA",,05/03/2019,82.9,64.1,73.8,,84.9,0,,9,,43,74.65,Partially cloudy
,"30331, USA",,05/04/2019,81.3,67.1,73.3,,83.3,0.2,,15.1,,52.5,81.18,"Rain, Partially cloudy"
,"30331, USA",,05/05/2019,78.9,65.1,70,,,0.1,,14,,75.9,80.23,"Rain, Overcast"
,"30331, USA",,05/06/2019,81,57.2,68.9,,80.9,0,,8.3,,35.3,69.54,Partially cloudy
,"30331, USA",,05/07/2019,83.4,58.8,71.9,,83.5,0,,8.6,,24.7,68.53,Clear
,"30331, USA",,05/08/2019,85,62.2,73.5,,85,0,,12.7,,39.1,71.12,Partially cloudy
,"30331, USA",,05/09/2019,80.3,65.9,71.7,,81,0.5,,14,33.1,58.6,72.33,"Rain, Partially cloudy"
,"30331, USA",,05/10/2019,82.1,62.8,72.3,,83.6,0.4,,9,,61.1,76.48,"Rain, Partially cloudy"
,"30331, USA",,05/11/2019,79.4,68,72.8,,,0.5,,8.7,,71.5,82.3,"Rain, Partially cloudy"
,"30331, USA",,05/12/2019,73.1,65.9,68.6,,,0.8,,8.9,,81.1,87.96,"Rain, Overcast"
,"30331, USA",,05/13/2019,73.1,60.6,67,,,0,,13.7,,44.6,64.74,Partially cloudy
,"30331, USA",,05/14/2019,71.2,50.2,61,,,0,,12.8,,3.1,60.46,Clear
,"30331, USA",,05/15/2019,75.1,49.7,63.5,,,0,,7.7,,24.9,60.36,Clear
,"30331, USA",,05/16/2019,85.7,61.3,72.6,,85.1,0,,7.7,,52.2,63.23,Partially cloudy
,"30331, USA",,05/17/2019,86.2,63.7,74.9,,86.4,0,,10.7,,29.8,68.14,Partially cloudy
,"30331, USA",,05/18/2019,87.2,64.2,76,,87.9,0,,8.7,,17.9,66.87,Clear
,"30331, USA",,05/19/2019,87.1,64.3,76.3,,85.7,0,,12,,24.6,62.12,Clear
,"30331, USA",,05/20/2019,85.3,67.6,76.2,,85.4,0,,11.8,,47.2,63.55,Partially cloudy
,"30331, USA",,05/21/2019,89.4,63.1,76.9,,88.9,0,,8.1,,17.3,62.55,Clear
,"30331, USA",,05/22/2019,91.1,68.6,80.4,,90.2,0,,11,,29,57.33,Partially cloudy
,"30331, USA",,05/23/2019,88.7,70.6,80.3,,90.8,0,,8.6,,31,63.63,Partially cloudy
,"30331, USA",,05/24/2019,91.9,69,80.9,,93,0,,7.7,,14.4,63.04,Clear
,"30331, USA",,05/25/2019,92,71.1,81.7,,94,0,,9,,14.3,61.61,Clear
,"30331, USA",,05/26/2019,93.6,68.7,82.1,,93.4,0,,13,,7.6,58.08,Clear
,"30331, USA",,05/27/2019,92.9,68.7,81.8,,93.2,0,,11.4,,28.2,58.05,Partially cloudy
,"30331, USA",,05/28/2019,92.7,70.6,82.6,,90.5,0,,11.5,,11,55.87,Clear
,"30331, USA",,05/29/2019,93.1,67.9,81.6,,91.8,0,,11.4,,8.9,54.69,Clear
,"30331, USA",,05/30/2019,89.8,72.1,81,,90,0,,12.8,,30.7,56.92,Partially cloudy
,"30331, USA",,05/31/2019,87.2,70.7,78.8,,85.8,0,,15,,44.5,55.12,Partially cloudy
,"30331, USA",,06/01/2019,88.2,62.8,76.5,,86.1,0,,11.3,,20.4,51,Clear
,"30331, USA",,06/02/2019,89.5,65.1,75.6,,88.6,0,,14,31.1,34.9,61.07,Partially cloudy
,"30331, USA",,06/03/2019,88.2,66.6,77.2,,86.9,0.1,,11.2,,16.9,61.11,"Rain, Clear"
,"30331, USA",,06/04/2019,83.1,66.2,73.9,,83.1,0,,11.9,,25.8,58.17,Partially cloudy
,"30331, USA",,06/05/2019,83.1,67.2,74.9,,86.2,0,,7,,42.6,75.64,Partially cloudy
,"30331, USA",,06/06/2019,76.1,71,74.1,,,0,,6.9,,95,78.55,Overcast
,"30331, USA",,06/07/2019,87.1,69.6,74.8,,91.1,0.7,,13.8,44.7,76.5,82.7,"Rain, Overcast"
,"30331, USA",,06/08/2019,72.8,69.2,70.8,,,3.1,,9.5,29.8,95.9,91.98,"Rain, Overcast"
,"30331, USA",,06/09/2019,80.6,70.1,74.4,,83.5,0,,8.8,,94.4,83.68,Overcast
,"30331, USA",,06/10/2019,81.2,72.1,76.2,,85.2,0,,9.3,,83.4,82.54,Overcast
