Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30331, USA",,10/01/2019,92.6,71.8,81.3,,95.9,0,,5.3,,16.2,65.23,Clear
,"30331, USA",,10/02/2019,94.7,71.1,82.3,,97.2,0,,5.9,,9,63.64,Clear
,"30331, USA",,10/03/2019,96.8,71.5,83.5,,98.4,0,,7.2,,11,59.17,Clear
,"30331, USA",,10/04/2019,95.6,69.7,82.5,,95.3,0,,9.1,,13,55.24,Clear
,"30331, USA",,10/05/2019,80.9,67.7,75.4,,82.7,0,,19,32.2,54.8,66.35,Partially cloudy
,"30331, USA",,10/06/2019,78.6,62.5,69.3,,,0,,14.7,,85.2,74.33,Overcast
,"30331, USA",,10/07/2019,80,64.8,72.5,,81.2,0,,7,,64.7,71.53,Partially cloudy
,"30331, USA",,10/08/2019,81.7,64.5,71,,82.3,0,,6.7,,60.4,75.01,Partially cloudy
,"30331, USA",,10/09/2019,75.6,63.9,69,,,0,,13,,73.3,73.32,Partially cloudy
,"30331, USA",,10/10/2019,78,59.8,67.1,,,0,,10.1,,33.6,74.4,Partially cloudy
,"30331, USA",,10/11/2019,79.3,56.4,67.4,,,0,,6.2,,17.3,67.69,Clear
,"30331, USA",,10/12/2019,78.5,58.5,68.6,,,0,,10.5,,56.3,66.5,Partially cloudy
,"30331, USA",,10/13/2019,65.4,59.7,62.7,,,0.3,,6.7,,92.2,86.5,"Rain, Overcast"
,"30331, USA",,10/14/2019,77.2,52.3,64.1,,,0,,6.9,,30.2,67.52,Partially cloudy
,"30331, USA",,10/15/2019,71.1,63.6,65.6,,,0.3,,8.1,,97.6,83.26,"Rain, Overcast"
,"30331, USA",,10/16/2019,70.9,56,64.3,,,0.4,,16.7,34.4,70.8,77.06,"Rain, Partially cloudy"
,"30331, USA",,10/17/2019,66.5,45.1,54.5,41.9,,0,,13.1,,14.8,57.11,Clear
,"30331, USA",,10/18/2019,66.5,43.3,54.9,40.3,,0,,10.4,,24.8,63.8,Clear
,"30331, USA",,10/19/2019,60.6,53,55.9,,,1.2,,17.6,29.8,72.1,79.6,"Rain, Partially cloudy"
,"30331, USA",,10/20/2019,71.3,56,62.2,,,0,,10.4,,64.8,84.85,Partially cloudy
,"30331, USA",,10/21/2019,75.7,54.7,65.6,,,0,,10.4,,39,80.56,Partially cloudy
,"30331, USA",,10/22/2019,71.2,55.7,65.2,,,0.3,,14.5,34.4,44.2,63.05,"Rain, Partially cloudy"
,"30331, USA",,10/23/2019,68.1,44.4,55.5,45.6,,0,,8.1,,7.7,56.96,Clear
,"30331, USA",,10/24/2019,70.5,43.3,56.6,41,,0,,9,,9.6,62.78,Clear
,"30331, USA",,10/25/2019,70.5,59.9,64.6,,,0,,10.3,,80.4,71.16,Overcast
,"30331, USA",,10/26/2019,74.4,66.8,70,,,0.1,,12.2,,90,86.91,"Rain, Overcast"
,"30331, USA",,10/27/2019,73.7,56.3,64.3,,,0.1,,15.4,29.8,32.4,76.53,"Rain, Partially cloudy"
,"30331, USA",,10/28/2019,75.6,49,59.6,,,0,,6.5,,14.5,80.61,Clear
,"30331, USA",,10/29/2019,72.3,53.9,63.1,,,0,,7.7,,67.3,82.47,Partially cloudy
,"30331, USA",,10/30/2019,73,65.9,69.4,,,1.4,,10.5,,95.5,93.41,"Rain, Overcast"
,"30331, USA",,10/31/2019,75,38.9,61.9,30,,0.5,,18.1,47.2,90.2,85.05,"Rain, Overcast"
,"30331, USA",,11/01/2019,56.2,34.2,43.4,26.4,,0,,15.2,36.7,9.7,64.25,Clear
,"30331, USA",,11/02/2019,58.8,35.4,45.4,31.3,,0,,16,,9.5,68.66,Clear
,"30331, USA",,11/03/2019,61,34.4,46.5,36.9,,0,,4.9,,6.6,63.46,Clear
,"30331, USA",,11/04/2019,60.9,36.5,49.8,43.5,,0,,9.7,,55.3,66.45,Partially cloudy
,"30331, USA",,11/05/2019,68.9,51.4,58,,,0,,8.2,,61.7,66.3,Partially cloudy
,"30331, USA",,11/06/2019,71.1,43.8,56.5,,,0,,9.5,,4.5,68.6,Clear
,"30331, USA",,11/07/2019,67.6,51.6,60.3,,,0.7,,11.8,32.2,93.3,79.28,"Rain, Overcast"
,"30331, USA",,11/08/2019,57.1,38,47.7,36.9,,0,,13.8,,48.2,70.5,Partially cloudy
,"30331, USA",,11/09/2019,54.8,34.5,42.8,29.3,,0,,8.6,,4.9,65.45,Clear
,"30331, USA",,11/10/2019,65,34.6,48.1,46.3,,0,,7,,6.4,69.69,Clear
,"30331, USA",,11/11/2019,66.6,39.5,52.8,,,0,,8.7,,33,71.26,Partially cloudy
,"30331, USA",,11/12/2019,56.2,26.1,39.7,16.3,,0.4,,21.5,39.1,67.9,76.46,"Rain, Partially cloudy"
,"30331, USA",,11/13/2019,47,22.5,34.3,16.6,,0,,11,,7.8,53.03,Clear
,"30331, USA",,11/14/2019,43.9,34.2,39.9,27.6,,0.1,,9.5,,87.2,60.41,"Rain, Overcast"
,"30331, USA",,11/15/2019,47.4,42.4,45,38.3,,0.6,,10.2,,98.8,90.14,"Rain, Overcast"
,"30331, USA",,11/16/2019,63.1,39.7,49.2,36,,0,,9.5,,51.3,62.73,Partially cloudy
,"30331, USA",,11/17/2019,65.5,39.8,53,41.3,,0,,4.6,,77.5,69.52,Overcast
,"30331, USA",,11/18/2019,62.2,47.3,54,44.9,,0,,8.6,,47.9,65.96,Partially cloudy
,"30331, USA",,11/19/2019,62.8,43.8,50.8,40.5,,0,,11.3,,20.3,62.41,Clear
,"30331, USA",,11/20/2019,64,41.1,50.9,41,,0,,10.9,,9.1,60.12,Clear
,"30331, USA",,11/21/2019,65.6,39.8,52.4,39.6,,0,,8.4,,18,63.96,Clear
,"30331, USA",,11/22/2019,65.2,47,56.6,48.1,,0,,9.4,,64.9,77.01,Partially cloudy
,"30331, USA",,11/23/2019,65.6,47.1,59.4,40.7,,0.8,,18.7,33.3,85.3,85.7,"Rain, Overcast"
,"30331, USA",,11/24/2019,52.9,39.8,46.4,37.2,,0,,14.9,35.6,17,68.03,Clear
,"30331, USA",,11/25/2019,62.8,34.3,46.2,43.6,,0,,6.6,,6.9,71.18,Clear
,"30331, USA",,11/26/2019,65,35.7,51.1,,,0,,9.6,,19.6,70.27,Clear
,"30331, USA",,11/27/2019,74.5,52.3,63.6,,,0.3,,12.8,34.4,54.9,59.49,"Rain, Partially cloudy"
,"30331, USA",,11/28/2019,61.3,43.9,51.9,39,,0,,13.5,,12.9,43.34,Clear
,"30331, USA",,11/29/2019,67.9,48,56.2,,,0,,7.1,,70.9,50.63,Partially cloudy
,"30331, USA",,11/30/2019,73.4,51,61.6,,,0,,11.4,,41,60.01,Partially cloudy
,"30331, USA",,12/01/2019,66.5,48.8,61.4,44,,0.1,,20.3,40.3,46.3,49.99,"Rain, Partially cloudy"
,"30331, USA",,12/02/2019,47.9,38,41.7,29.4,,0,,18.7,34.7,91.2,53.98,Overcast
,"30331, USA",,12/03/2019,46.3,35.6,39.8,27.5,,0,,14.7,,54.6,62.43,Partially cloudy
,"30331, USA",,12/04/2019,59.3,33.5,45.8,30.3,,0,,15.9,,7.1,56.41,Clear
,"30331, USA",,12/05/2019,64.1,37,49.9,33.6,,0,,7.7,,14.7,48.76,Clear
,"30331, USA",,12/06/2019,58.4,43.3,50.1,,,0,,5.1,,77.6,61.34,Overcast
,"30331, USA",,12/07/2019,62.3,45.6,53.8,,,0,,7.6,,91.8,64.4,Overcast
