Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30312, USA",,10/01/2019,92.7,72.3,81.9,,96.1,0,,5.8,,18.7,63.02,Clear
,"30312, USA",,10/02/2019,94.3,71.5,82.4,,97,0,,6.6,,10.6,62.25,Clear
,"30312, USA",,10/03/2019,96.2,71.8,83.9,,97.3,0,,7.1,,13.7,57.99,Clear
,"30312, USA",,10/04/2019,96.1,70,82.9,,95.4,0,,8.2,,16.2,53.35,Clear
,"30312, USA",,10/05/2019,79.8,66.5,75,,,0,,18.8,32.2,60.5,66.73,Partially cloudy
,"30312, USA",,10/06/2019,78.2,61.8,68.6,,,0,,13.4,,83.9,75.87,Overcast
,"30312, USA",,10/07/2019,80,65.3,72.3,,81.3,0,,7,,64.3,71.95,Partially cloudy
,"30312, USA",,10/08/2019,81.1,64.7,71.4,,81.9,0,,8.4,,62.2,74.06,Partially cloudy
,"30312, USA",,10/09/2019,75.1,64.6,68.4,,,0,,10.4,,70.4,73.97,Partially cloudy
,"30312, USA",,10/10/2019,77.5,60.4,67.1,,,0,,9.4,,38.4,73.63,Partially cloudy
,"30312, USA",,10/11/2019,79.1,57.2,67.6,,,0,,5.3,,19.5,65.87,Clear
,"30312, USA",,10/12/2019,78.8,58.8,68.9,,,0,,10.7,,57.4,64.26,Partially cloudy
,"30312, USA",,10/13/2019,65.4,59.7,62.6,,,0.2,,7.5,,92.3,87.06,"Rain, Overcast"
,"30312, USA",,10/14/2019,76.9,52.1,64.2,,,0,,7.6,,33.3,66.53,Partially cloudy
,"30312, USA",,10/15/2019,71,63.7,65.7,,,0.2,,7.5,,96.5,81.37,"Rain, Overcast"
,"30312, USA",,10/16/2019,71.2,55.8,64.1,,,0.4,,17.5,34.4,73.7,77.41,"Rain, Partially cloudy"
,"30312, USA",,10/17/2019,66,45.1,54.5,41.2,,0,,13.5,,18.4,56.45,Clear
,"30312, USA",,10/18/2019,66,43.9,55.1,41.6,,0,,9.1,,31.7,61.84,Partially cloudy
,"30312, USA",,10/19/2019,59.6,52.5,55.4,,,1.2,,15.6,29.8,81.6,80.14,"Rain, Overcast"
,"30312, USA",,10/20/2019,71.5,55.8,62.3,,,0,,11.4,,68.3,84.37,Partially cloudy
,"30312, USA",,10/21/2019,75.3,55.4,65.6,,,0,,10,,40.8,81.02,Partially cloudy
,"30312, USA",,10/22/2019,71.3,55.4,64.9,,,0.2,,18.4,34.4,50.9,63.54,"Rain, Partially cloudy"
,"30312, USA",,10/23/2019,67.7,44.8,55.8,43.6,,0,,9,,8.5,55.34,Clear
,"30312, USA",,10/24/2019,69.5,44.8,57.2,43.4,,0,,9.2,,14.5,59.94,Clear
,"30312, USA",,10/25/2019,70.1,60.4,64.5,,,0,,10.2,,88.6,70.53,Overcast
,"30312, USA",,10/26/2019,74.4,66.3,69.5,,,0.1,,11.4,,93.9,87.95,"Rain, Overcast"
,"30312, USA",,10/27/2019,72.9,56.4,64.2,,,0.1,,12.9,,34,77.3,"Rain, Partially cloudy"
,"30312, USA",,10/28/2019,75,49.6,59.8,,,0,,6.2,,18.3,79.83,Clear
,"30312, USA",,10/29/2019,71.4,54.8,63.3,,,0,,6.7,,72.1,81.81,Partially cloudy
,"30312, USA",,10/30/2019,72.5,65.4,68.8,,,1.2,,11.2,,96.6,94.38,"Rain, Overcast"
,"30312, USA",,10/31/2019,75,38.7,62,29.7,,0.4,,18.9,40.5,92.3,85.13,"Rain, Overcast"
,"30312, USA",,11/01/2019,56.6,34.1,43.3,25.7,,0,,16.3,36.7,9.2,64.23,Clear
,"30312, USA",,11/02/2019,58.3,35.5,45.6,32.8,,0,,15.7,,12.9,67.56,Clear
,"30312, USA",,11/03/2019,60.8,34.6,46.7,33.4,,0,,5.9,,8.8,61.91,Clear
,"30312, USA",,11/04/2019,60.5,38.7,50,38.3,,0,,8.6,,57.8,64.88,Partially cloudy
,"30312, USA",,11/05/2019,68.8,52.6,58.1,,,0,,9.3,,62.1,65.13,Partially cloudy
,"30312, USA",,11/06/2019,70.5,44.2,56.6,42.4,,0,,9,,6,67.52,Clear
,"30312, USA",,11/07/2019,66.7,53,60,,,0.6,,13.9,31.1,93.4,79.19,"Rain, Overcast"
,"30312, USA",,11/08/2019,57,37.9,47.9,34.8,,0.1,,14.3,,49.1,71.32,"Rain, Partially cloudy"
,"30312, USA",,11/09/2019,54.1,34.7,43,29.2,,0,,8.7,,6.6,63.49,Clear
,"30312, USA",,11/10/2019,64.4,34.9,48.4,,,0,,7.6,,8.2,68.4,Clear
,"30312, USA",,11/11/2019,66.3,40.1,53.1,,,0,,9,,37.3,70.25,Partially cloudy
,"30312, USA",,11/12/2019,55.8,26,39.9,15.9,,0.4,,22.5,39.1,67.1,76.97,"Rain, Partially cloudy"
,"30312, USA",,11/13/2019,46.4,22.7,33.9,15.8,,0,,10.1,,9.9,53.68,Clear
,"30312, USA",,11/14/2019,43.5,33.8,39.5,26.8,,0.1,,9.2,,88.6,61.23,"Rain, Overcast"
,"30312, USA",,11/15/2019,47.9,42.2,45.2,37.4,,0.5,,11.4,,99.4,90.68,"Rain, Overcast"
,"30312, USA",,11/16/2019,63.7,40.2,49.8,35.1,,0,,10.6,,64.6,62.78,Partially cloudy
,"30312, USA",,11/17/2019,64.4,43.1,53.6,41.8,,0,,4.5,,80.8,65.5,Overcast
,"30312, USA",,11/18/2019,62,47.4,54.1,44.5,,0,,8.8,,48.9,65.62,Partially cloudy
,"30312, USA",,11/19/2019,62.1,44,50.8,40,,0,,9.2,,35.3,61.71,Partially cloudy
,"30312, USA",,11/20/2019,63.3,42.4,51,39.5,,0,,10.7,,10.2,59.56,Clear
,"30312, USA",,11/21/2019,64.8,40.7,52.5,41.5,,0,,8,,26.5,63.19,Partially cloudy
,"30312, USA",,11/22/2019,65.1,46.7,56.7,,,0,,9.1,,71.1,76,Partially cloudy
,"30312, USA",,11/23/2019,65.1,47.3,59.3,40.9,,0.8,,19.2,34.3,86.2,86.04,"Rain, Overcast"
,"30312, USA",,11/24/2019,52.7,39.8,46.3,36.1,,0,,15.6,35.6,29.6,68.08,Partially cloudy
,"30312, USA",,11/25/2019,62.4,34.6,46.2,31.7,,0,,6,,8,70.62,Clear
,"30312, USA",,11/26/2019,64.8,36.3,51.1,,,0,,8.9,,26.8,70.1,Partially cloudy
,"30312, USA",,11/27/2019,74.4,52.4,63.2,,,0.3,,13.8,34.4,60.2,60.39,"Rain, Partially cloudy"
,"30312, USA",,11/28/2019,61.4,43.5,51.7,37.8,,0,,14.7,,18.4,44.14,Clear
,"30312, USA",,11/29/2019,67,48.5,56.1,47.2,,0,,7.4,,74.7,49.85,Partially cloudy
,"30312, USA",,11/30/2019,73.4,50.8,61.4,,,0,,11.4,,63.9,59.96,Partially cloudy
,"30312, USA",,12/01/2019,66,48.6,61,42.9,,0,,20.8,38.7,46.8,51.13,Partially cloudy
,"30312, USA",,12/02/2019,47.7,37.8,41.5,28.9,,0,,18.9,32.8,91.6,54.58,Overcast
,"30312, USA",,12/03/2019,46.1,35.1,39.5,26.3,,0,,16.1,,56.8,63.27,Partially cloudy
,"30312, USA",,12/04/2019,59.1,34.5,45.7,29.3,,0,,15.2,,8.6,56.45,Clear
,"30312, USA",,12/05/2019,63.8,38.1,50,34.5,,0,,7.6,,18.7,47.56,Clear
,"30312, USA",,12/06/2019,58.7,43.9,50.6,,,0,,6.3,,80.1,57.22,Overcast
,"30312, USA",,12/07/2019,61.5,46.3,54,,,0,,7.4,,89.9,61.52,Overcast
,"30312, USA",,12/08/2019,56.1,46.2,51.3,41.1,,0,,12.9,,85.9,58.46,Overcast
,"30312, USA",,12/09/2019,56,47.1,51.3,44.1,,0,,9.4,,98.6,70.02,Overcast
,"30312, USA",,12/10/2019,66.6,39.9,54.8,32.8,,0.2,,19.2,32.6,86,83.05,"Rain, Overcast"
,"30312, USA",,12/11/2019,51.5,34.4,40.3,27.4,,0,,13.2,,34.2,62.2,Partially cloudy
,"30312, USA",,12/12/2019,51.2,31.6,40.8,26.3,,0.1,,15.7,,35.8,60.23,"Rain, Partially cloudy"
,"30312, USA",,12/13/2019,43.7,37.2,40.3,29.3,,1.8,,13,,84,91.82,"Rain, Overcast"
,"30312, USA",,12/14/2019,53.6,42,46.4,39.9,,0.1,,14.5,,61,80.27,"Rain, Partially cloudy"
,"30312, USA",,12/15/2019,56.2,39.5,48.4,45.6,,0,,8.9,,54.1,81.38,Partially cloudy
,"30312, USA",,12/16/2019,69.5,54.2,60.4,,,0,,11.8,,84.2,74.39,Overcast
,"30312, USA",,12/17/2019,63.5,39.3,52.4,31.2,,0.5,,18.5,33.8,95,84.27,"Rain, Overcast"
,"30312, USA",,12/18/2019,47.4,30.6,37.9,21.6,,0,,17.6,32.2,4.4,55.08,Clear
,"30312, USA",,12/19/2019,52.2,28.4,38.6,23.3,,0,,8.1,,1.3,56.5,Clear
,"30312, USA",,12/20/2019,55.1,29.1,41.8,26.4,,0,,7.5,,23.5,53.38,Clear
,"30312, USA",,12/21/2019,47.9,43.4,45.6,40,,0.1,,9.7,,89.2,57.42,"Rain, Overcast"
,"30312, USA",,12/22/2019,46.8,41.1,43.1,33.6,,1.3,,19.1,39.1,99.9,81.94,"Rain, Overcast"
,"30312, USA",,12/23/2019,56.7,46.5,51.9,39.9,,0.5,,17.6,36.7,100,90.16,"Rain, Overcast"
,"30312, USA",,12/24/2019,70.2,49.6,59.1,,,0,,11.1,,45.4,76.61,Partially cloudy
,"30312, USA",,12/25/2019,64.2,41.8,51.6,39,,0,,8.5,,24.8,68.61,Clear
,"30312, USA",,12/26/2019,64.5,37.2,50.4,42.6,,0,,3.8,,31.6,71.67,Partially cloudy
,"30312, USA",,12/27/2019,63.8,50,57.2,,,0,,6.5,,91.6,70.81,Overcast
,"30312, USA",,12/28/2019,67.7,53.5,60,,,0,,8.7,,85.9,85.14,Overcast
,"30312, USA",,12/29/2019,69.5,61.7,66.3,,,0.1,,13.5,,95.8,89.78,"Rain, Overcast"
,"30312, USA",,12/30/2019,68.9,47.1,56.6,42.7,,0.1,,19.1,39.1,31.7,59.78,"Rain, Partially cloudy"
,"30312, USA",,12/31/2019,54.1,38.6,45.8,33.2,,0,,18.3,30.5,0.9,55.06,Clear
