Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30331, USA",,01/01/2019,65.2,56.4,61.6,,,0.2,,5.3,,71.6,92.18,"Rain, Partially cloudy"
,"30331, USA",,01/02/2019,57.1,49.1,52.3,46.4,,0.4,,7.3,,73.4,94.07,"Rain, Partially cloudy"
,"30331, USA",,01/03/2019,54.7,50.8,52.6,,,0.3,,11.1,,99.6,97.28,"Rain, Overcast"
,"30331, USA",,01/04/2019,64.8,45.7,54.8,40.7,,1.2,,15.4,32.8,85.9,87.59,"Rain, Overcast"
,"30331, USA",,01/05/2019,58.1,43.9,49.2,36.9,,0,,17,33.3,38.4,65.23,Partially cloudy
,"30331, USA",,01/06/2019,68.3,40.5,52.7,40.8,,0,,6.9,,7,64.59,Clear
,"30331, USA",,01/07/2019,68.8,40.2,52.9,43.3,,0,,9.7,,21.9,70.02,Clear
,"30331, USA",,01/08/2019,64.8,48.9,56.3,,,0,,10.5,,57.7,79.06,Partially cloudy
,"30331, USA",,01/09/2019,56.6,39.8,47,31.4,,0,,19.7,34.4,2.1,40.97,Clear
,"30331, USA",,01/10/2019,44.8,29.2,36.4,19.9,,0,,15.5,34.4,12.8,50.47,Clear
,"30331, USA",,01/11/2019,53.2,27.8,40.7,23.4,,0,,7.9,,14.5,50.06,Clear
,"30331, USA",,01/12/2019,43.7,37.9,41.5,29.9,,0.3,,13.7,,93.1,60.26,"Rain, Overcast"
,"30331, USA",,01/13/2019,46.4,35.6,40.5,28.3,,0.2,,10.8,,99.8,92.94,"Rain, Overcast"
,"30331, USA",,01/14/2019,45.1,39.8,43.3,32.5,,0,,12.5,,99.7,80.84,Overcast
,"30331, USA",,01/15/2019,44.2,33.1,37.9,26.9,,0,,11.3,,60,73.63,Partially cloudy
,"30331, USA",,01/16/2019,52.8,29.9,38.5,23.2,,0,,8.8,,26.4,76.63,Partially cloudy
,"30331, USA",,01/17/2019,46.8,31.8,40.2,31.3,,0.1,,5.6,,63.4,91.66,"Rain, Partially cloudy"
,"30331, USA",,01/18/2019,56.9,46.2,49.9,44.7,,0,,4.8,,81.3,92.9,Overcast
,"30331, USA",,01/19/2019,62.8,47.5,55.7,47,,0.9,,16.9,,89.3,95.51,"Rain, Overcast"
,"30331, USA",,01/20/2019,52.9,29.1,35.8,19.3,,0,,21.2,37.8,63.1,68.52,Partially cloudy
,"30331, USA",,01/21/2019,43,21.1,30.6,11.1,,0,,14.4,,10.1,47.34,Clear
,"30331, USA",,01/22/2019,44.7,30.5,38,22.3,,0,,12.4,,63.3,37.39,Partially cloudy
,"30331, USA",,01/23/2019,67.7,42.7,53.4,36.1,,1.5,,17.5,35.6,97.5,71.77,"Rain, Overcast"
,"30331, USA",,01/24/2019,54.7,34.2,42.5,27.8,,0.3,,16.9,40.3,63.9,80.5,"Rain, Partially cloudy"
,"30331, USA",,01/25/2019,46.9,30.5,37.3,24.9,,0,,14.1,,13.5,59.92,Clear
,"30331, USA",,01/26/2019,51.7,26.4,37,25.3,,0,,10.9,,6.7,64.42,Clear
,"30331, USA",,01/27/2019,50.9,30.3,39.4,,,0,,2.6,,27.3,77,Partially cloudy
,"30331, USA",,01/28/2019,57.6,29.7,43.7,43.6,,0,,12.9,,43.7,69.9,Partially cloudy
,"30331, USA",,01/29/2019,51,28.2,40.6,19.7,,0.1,,16.4,29.8,65.5,65.46,"Rain, Partially cloudy"
,"30331, USA",,01/30/2019,42.9,22.3,31.9,17.1,,0,,15.7,30.1,17.1,49.53,Clear
,"30331, USA",,01/31/2019,51.2,25.8,37.2,44.5,,0,,7.5,,20,54.62,Clear
,"30331, USA",,02/01/2019,61.3,29.7,43.4,45.9,,0,,8.1,,16.5,58.54,Clear
,"30331, USA",,02/02/2019,64.9,33.6,50.3,32.3,,0,,8,,50.6,68.11,Partially cloudy
,"30331, USA",,02/03/2019,63.2,46.1,55.3,,,0,,7.6,,74.1,74.75,Partially cloudy
,"30331, USA",,02/04/2019,65.6,39.5,52.2,44.4,,0,,6.2,,55.9,84.87,Partially cloudy
,"30331, USA",,02/05/2019,72.5,53.8,61.9,,,0,,5.5,,77.2,84.82,Overcast
,"30331, USA",,02/06/2019,70.8,56.3,63.3,,,0.1,,8.9,,80.2,91.87,"Rain, Overcast"
,"30331, USA",,02/07/2019,79.8,62.7,69.9,,,0,,15.7,31.1,48.9,73.48,Partially cloudy
