Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
01/01/2018,0,0,2,0,2,0,2,30308
01/02/2018,0,1,0,0,1,0,1,30308
01/03/2018,0,0,1,0,0,1,1,30308
01/04/2018,0,1,1,0,1,1,2,30308
01/05/2018,0,3,4,0,4,3,7,30308
01/06/2018,0,0,0,0,0,0,0,30308
01/07/2018,0,0,0,0,0,0,0,30308
01/08/2018,0,3,1,0,1,3,4,30308
01/09/2018,0,1,4,0,3,2,5,30308
01/10/2018,0,1,1,0,1,1,2,30308
01/11/2018,0,3,5,0,5,3,8,30308
01/12/2018,0,0,2,0,0,2,2,30308
01/13/2018,0,0,1,0,1,0,1,30308
01/14/2018,0,0,1,0,0,1,1,30308
01/15/2018,0,0,0,0,0,0,0,30308
01/16/2018,0,1,1,0,1,1,2,30308
01/17/2018,0,0,0,0,0,0,0,30308
01/18/2018,0,0,0,0,0,0,0,30308
01/19/2018,0,1,0,0,1,0,1,30308
01/20/2018,0,0,0,0,0,0,0,30308
01/21/2018,0,0,3,0,2,1,3,30308
01/22/2018,0,0,0,0,0,0,0,30308
01/23/2018,0,0,1,0,0,1,1,30308
01/24/2018,0,2,1,0,2,1,3,30308
01/25/2018,0,3,2,0,3,2,5,30308
01/26/2018,0,1,1,0,1,1,2,30308
01/27/2018,0,1,2,0,1,2,3,30308
01/28/2018,0,0,0,0,0,0,0,30308
01/29/2018,0,1,1,0,1,1,2,30308
01/30/2018,0,0,1,0,0,1,1,30308
01/31/2018,0,1,0,0,1,0,1,30308
02/01/2018,0,1,2,0,3,0,3,30308
02/02/2018,0,1,0,0,1,0,1,30308
02/03/2018,0,0,2,0,1,1,2,30308
02/04/2018,0,0,0,0,0,0,0,30308
02/05/2018,0,1,0,0,1,0,1,30308
02/06/2018,0,0,5,0,0,5,5,30308
02/07/2018,0,1,3,0,1,3,4,30308
02/08/2018,0,2,5,0,4,3,7,30308
02/09/2018,0,1,1,0,1,1,2,30308
