Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
05/12/2018,0,0,1,0,1,0,1,30309
05/13/2018,0,0,1,0,1,0,1,30309
05/14/2018,0,0,2,0,1,1,2,30309
05/15/2018,0,0,4,0,1,3,4,30309
05/16/2018,0,0,4,0,2,2,4,30309
05/17/2018,0,0,0,0,0,0,0,30309
05/18/2018,0,0,2,0,0,2,2,30309
05/19/2018,0,0,1,0,0,1,1,30309
05/20/2018,0,0,0,0,0,0,0,30309
05/21/2018,0,0,1,0,1,0,1,30309
05/22/2018,0,0,0,0,0,0,0,30309
05/23/2018,0,0,1,0,0,1,1,30309
05/24/2018,0,0,1,0,1,0,1,30309
05/25/2018,0,0,0,0,0,0,0,30309
05/26/2018,0,0,1,0,0,1,1,30309
05/27/2018,0,0,0,0,0,0,0,30309
05/28/2018,0,1,1,0,2,0,2,30309
05/29/2018,0,0,1,0,0,1,1,30309
05/30/2018,0,4,2,0,1,5,6,30309
05/31/2018,0,1,2,0,1,2,3,30309
06/01/2018,0,2,3,0,2,3,5,30309
06/02/2018,0,0,2,0,0,2,2,30309
06/03/2018,0,0,0,0,0,0,0,30309
06/04/2018,0,1,1,0,1,1,2,30309
06/05/2018,0,2,0,0,2,0,2,30309
06/06/2018,0,2,1,0,2,1,3,30309
06/07/2018,0,2,1,0,2,1,3,30309
06/08/2018,0,1,1,0,1,1,2,30309
06/09/2018,0,0,2,0,1,1,2,30309
06/10/2018,0,0,0,0,0,0,0,30309
06/11/2018,0,2,4,2,2,6,8,30309
06/12/2018,0,4,4,0,4,4,8,30309
06/13/2018,0,0,5,0,1,4,5,30309
06/14/2018,0,1,2,0,2,1,3,30309
06/15/2018,0,4,4,2,5,5,10,30309
06/16/2018,0,0,1,0,0,1,1,30309
06/17/2018,0,0,2,0,2,0,2,30309
06/18/2018,0,1,2,0,1,2,3,30309
06/19/2018,0,0,2,0,1,1,2,30309
06/20/2018,0,2,3,0,2,3,5,30309
06/21/2018,0,2,2,0,2,2,4,30309
06/22/2018,0,1,0,0,1,0,1,30309
06/23/2018,0,0,0,0,0,0,0,30309
06/24/2018,0,0,0,0,0,0,0,30309
06/25/2018,0,1,2,0,2,1,3,30309
06/26/2018,0,1,2,0,2,1,3,30309
06/27/2018,0,5,1,0,4,2,6,30309
06/28/2018,0,0,5,0,1,4,5,30309
06/29/2018,0,2,3,0,4,1,5,30309
06/30/2018,0,0,2,0,0,2,2,30309
07/01/2018,0,0,0,0,0,0,0,30309
07/02/2018,0,1,2,0,1,2,3,30309
07/03/2018,0,3,2,0,3,2,5,30309
07/04/2018,0,2,4,0,2,4,6,30309
07/05/2018,0,0,1,0,1,0,1,30309
07/06/2018,0,0,1,0,0,1,1,30309
07/07/2018,0,0,1,0,0,1,1,30309
07/08/2018,0,0,0,0,0,0,0,30309
07/09/2018,0,1,4,0,2,3,5,30309
07/10/2018,0,0,1,0,0,1,1,30309
07/11/2018,0,0,0,0,0,0,0,30309
07/12/2018,0,0,2,0,0,2,2,30309
07/13/2018,0,1,0,0,0,1,1,30309
07/14/2018,0,0,0,0,0,0,0,30309
07/15/2018,0,0,2,0,0,2,2,30309
07/16/2018,0,1,1,0,0,2,2,30309
07/17/2018,0,1,3,0,1,3,4,30309
07/18/2018,0,2,2,0,1,3,4,30309
07/19/2018,0,1,2,0,1,2,3,30309
07/20/2018,0,2,1,0,2,1,3,30309
07/21/2018,0,0,0,0,0,0,0,30309
07/22/2018,0,0,2,0,1,1,2,30309
07/23/2018,0,1,1,0,1,1,2,30309
07/24/2018,0,0,2,0,0,2,2,30309
07/25/2018,0,0,2,0,0,2,2,30309
07/26/2018,0,1,1,0,1,1,2,30309
07/27/2018,0,0,1,0,0,1,1,30309
07/28/2018,0,0,3,0,0,3,3,30309
07/29/2018,0,0,0,0,0,0,0,30309
07/30/2018,0,1,3,0,2,2,4,30309
07/31/2018,0,2,3,0,1,4,5,30309
08/01/2018,0,0,4,0,1,3,4,30309
08/02/2018,0,1,2,0,2,1,3,30309
08/03/2018,0,0,2,0,0,2,2,30309
08/04/2018,0,3,0,0,0,3,3,30309
08/05/2018,0,0,1,0,0,1,1,30309
08/06/2018,0,1,0,0,1,0,1,30309
08/07/2018,0,1,1,0,1,1,2,30309
08/08/2018,0,2,5,0,4,3,7,30309
08/09/2018,0,1,6,1,3,5,8,30309
08/10/2018,0,1,2,0,2,1,3,30309
08/11/2018,0,0,1,0,0,1,1,30309
08/12/2018,0,0,2,0,0,2,2,30309
08/13/2018,0,2,5,1,3,5,8,30309
08/14/2018,0,1,2,0,1,2,3,30309
08/15/2018,0,0,1,1,0,2,2,30309
08/16/2018,0,1,0,0,1,0,1,30309
08/17/2018,0,0,0,0,0,0,0,30309
08/18/2018,0,0,2,0,0,2,2,30309
08/19/2018,0,0,2,0,0,2,2,30309
08/20/2018,0,2,2,0,3,1,4,30309
08/21/2018,0,3,4,0,3,4,7,30309
08/22/2018,0,3,2,0,3,2,5,30309
08/23/2018,0,1,4,0,2,3,5,30309
08/24/2018,0,3,1,0,1,3,4,30309
08/25/2018,0,0,1,0,0,1,1,30309
08/26/2018,0,0,1,0,0,1,1,30309
08/27/2018,0,2,3,0,0,5,5,30309
08/28/2018,0,5,1,0,4,2,6,30309
08/29/2018,0,4,0,0,3,1,4,30309
08/30/2018,0,1,1,0,1,1,2,30309
08/31/2018,0,1,2,0,1,2,3,30309
09/01/2018,0,0,1,0,0,1,1,30309
09/02/2018,0,0,1,0,0,1,1,30309
09/03/2018,0,0,0,0,0,0,0,30309
09/04/2018,0,0,1,0,1,0,1,30309
09/05/2018,0,1,1,0,0,2,2,30309
09/06/2018,0,1,2,0,3,0,3,30309
09/07/2018,0,0,2,0,1,1,2,30309
09/08/2018,0,0,2,0,2,0,2,30309
09/09/2018,0,0,2,0,1,1,2,30309
09/10/2018,0,0,0,0,0,0,0,30309
09/11/2018,0,2,2,0,3,1,4,30309
09/12/2018,0,1,7,0,2,6,8,30309
09/13/2018,0,3,3,0,3,3,6,30309
09/14/2018,0,0,6,0,0,6,6,30309
09/15/2018,0,0,2,0,0,2,2,30309
09/16/2018,0,0,0,0,0,0,0,30309
09/17/2018,0,0,0,0,0,0,0,30309
09/18/2018,0,3,2,0,4,1,5,30309
09/19/2018,0,1,2,0,1,2,3,30309
09/20/2018,0,2,5,0,4,3,7,30309
09/21/2018,0,1,4,0,0,5,5,30309
09/22/2018,0,0,1,0,0,1,1,30309
09/23/2018,0,0,0,2,0,2,2,30309
09/24/2018,0,2,3,0,0,5,5,30309
09/25/2018,0,0,4,0,1,3,4,30309
09/26/2018,0,3,2,0,3,2,5,30309
09/27/2018,0,1,0,0,1,0,1,30309
09/28/2018,0,1,2,0,2,1,3,30309
09/29/2018,0,0,1,0,0,1,1,30309
09/30/2018,0,0,1,0,1,0,1,30309
10/01/2018,0,3,6,0,4,5,9,30309
10/02/2018,0,2,2,0,1,3,4,30309
10/03/2018,0,3,2,0,2,3,5,30309
10/04/2018,0,1,6,0,2,5,7,30309
10/05/2018,0,1,1,0,0,2,2,30309
10/06/2018,0,0,0,0,0,0,0,30309
10/07/2018,0,0,0,0,0,0,0,30309
10/08/2018,0,3,3,0,3,3,6,30309
10/09/2018,0,2,3,0,2,3,5,30309
10/10/2018,0,1,0,0,0,1,1,30309
10/11/2018,0,2,0,0,2,0,2,30309
10/12/2018,0,0,0,0,0,0,0,30309
