,Location,Address,Country,Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
0,,30339, USA,01/01/2019,64.6,55.1,60.2,,,0.2,,6.2,,46.4,91.27,"Rain, Partially cloudy",0,1,0,0,0,1,1,30339
1,,30339, USA,01/02/2019,57.1,47.2,51.5,46.9,,0.3,,7.7,,71.0,92.69,"Rain, Partially cloudy",0,0,0,0,0,0,0,30339
2,,30339, USA,01/03/2019,54.1,49.9,51.9,,,0.4,,9.9,,99.5,96.98,"Rain, Overcast",0,0,2,0,0,2,2,30339
3,,30339, USA,01/04/2019,63.5,44.7,53.7,39.3,,0.9,,18.1,33.1,85.4,89.3,"Rain, Overcast",0,0,1,0,0,1,1,30339
4,,30339, USA,01/05/2019,57.4,42.9,48.1,35.6,,0.0,,17.6,31.1,41.9,66.47,Partially cloudy,0,0,0,0,0,0,0,30339
5,,30339, USA,01/06/2019,67.6,40.4,51.9,36.2,,0.0,,8.8,,16.6,63.79,Clear,0,0,1,0,0,1,1,30339
6,,30339, USA,01/07/2019,68.0,38.2,52.6,,,0.0,,10.3,,42.1,68.39,Partially cloudy,0,0,5,0,1,4,5,30339
7,,30339, USA,01/08/2019,64.7,48.0,55.5,,,0.0,,12.5,,63.1,79.22,Partially cloudy,0,1,0,0,0,1,1,30339
8,,30339, USA,01/09/2019,55.7,39.0,46.3,30.3,,0.0,,19.8,34.4,0.0,38.2,Clear,0,1,2,0,0,3,3,30339
9,,30339, USA,01/10/2019,44.2,28.3,35.6,17.9,,0.0,,17.1,32.2,22.2,49.77,Clear,0,0,2,0,0,2,2,30339
10,,30339, USA,01/11/2019,53.0,26.6,39.6,29.6,,0.0,,8.9,,23.4,50.33,Clear,0,0,1,0,0,1,1,30339
11,,30339, USA,01/12/2019,42.6,36.1,40.1,27.9,,0.3,,13.0,,91.8,60.13,"Rain, Overcast",0,0,1,0,0,1,1,30339
12,,30339, USA,01/13/2019,45.0,34.9,39.4,28.1,,0.2,,9.5,,100.0,92.94,"Rain, Overcast",0,0,0,0,0,0,0,30339
