Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
01/01/2018,0,0,1,0,1,0,1,30318
01/02/2018,0,0,1,0,0,1,1,30318
01/03/2018,0,1,3,0,1,3,4,30318
01/04/2018,0,0,2,0,1,1,2,30318
01/05/2018,0,1,3,0,3,1,4,30318
01/06/2018,0,0,1,0,0,1,1,30318
01/07/2018,0,0,0,0,0,0,0,30318
01/08/2018,0,0,1,0,1,0,1,30318
01/09/2018,0,0,1,1,0,2,2,30318
01/10/2018,0,0,3,0,3,0,3,30318
01/11/2018,0,2,3,0,3,2,5,30318
01/12/2018,0,0,1,0,0,1,1,30318
01/13/2018,0,0,2,0,1,1,2,30318
01/14/2018,0,0,0,0,0,0,0,30318
01/15/2018,0,0,1,0,0,1,1,30318
01/16/2018,0,0,3,0,0,3,3,30318
01/17/2018,0,0,1,0,0,1,1,30318
01/18/2018,0,0,0,0,0,0,0,30318
01/19/2018,0,0,1,1,1,1,2,30318
01/20/2018,0,0,1,0,0,1,1,30318
01/21/2018,0,0,1,0,1,0,1,30318
01/22/2018,0,0,3,0,0,3,3,30318
01/23/2018,0,1,1,0,2,0,2,30318
01/24/2018,0,0,0,0,0,0,0,30318
01/25/2018,0,1,2,0,3,0,3,30318
01/26/2018,0,0,1,0,1,0,1,30318
01/27/2018,0,0,1,0,1,0,1,30318
01/28/2018,0,0,0,0,0,0,0,30318
01/29/2018,0,0,1,0,1,0,1,30318
01/30/2018,0,1,3,0,2,2,4,30318
01/31/2018,0,0,0,0,0,0,0,30318
02/01/2018,0,0,1,0,1,0,1,30318
02/02/2018,0,0,1,0,1,0,1,30318
02/03/2018,0,0,0,0,0,0,0,30318
02/04/2018,0,0,0,0,0,0,0,30318
02/05/2018,0,1,1,0,2,0,2,30318
02/06/2018,0,0,1,0,1,0,1,30318
02/07/2018,0,0,3,0,2,1,3,30318
02/08/2018,0,0,1,0,0,1,1,30318
02/09/2018,0,0,3,0,1,2,3,30318
02/10/2018,0,0,0,0,0,0,0,30318
02/11/2018,0,0,0,0,0,0,0,30318
02/12/2018,0,0,5,0,3,2,5,30318
02/13/2018,0,0,1,1,0,2,2,30318
02/14/2018,0,0,2,0,1,1,2,30318
02/15/2018,0,0,2,0,0,2,2,30318
02/16/2018,0,0,2,0,2,0,2,30318
02/17/2018,0,0,1,0,0,1,1,30318
02/18/2018,0,0,1,0,0,1,1,30318
02/19/2018,0,0,1,0,0,1,1,30318
02/20/2018,0,0,2,0,1,1,2,30318
02/21/2018,0,0,2,0,1,1,2,30318
02/22/2018,0,0,0,0,0,0,0,30318
02/23/2018,0,0,1,0,1,0,1,30318
02/24/2018,0,0,0,0,0,0,0,30318
02/25/2018,0,0,0,0,0,0,0,30318
02/26/2018,0,1,3,0,3,1,4,30318
02/27/2018,0,1,1,0,1,1,2,30318
02/28/2018,0,0,0,0,0,0,0,30318
03/01/2018,0,0,0,0,0,0,0,30318
03/02/2018,0,1,0,0,0,1,1,30318
03/03/2018,0,0,0,0,0,0,0,30318
03/04/2018,0,0,1,0,1,0,1,30318
03/05/2018,0,0,1,0,1,0,1,30318
03/06/2018,0,1,1,0,2,0,2,30318
03/07/2018,0,0,0,0,0,0,0,30318
03/08/2018,0,0,0,0,0,0,0,30318
03/09/2018,0,1,2,0,2,1,3,30318
03/10/2018,0,0,0,0,0,0,0,30318
03/11/2018,0,0,0,0,0,0,0,30318
03/12/2018,0,1,0,0,0,1,1,30318
03/13/2018,0,1,1,0,1,1,2,30318
03/14/2018,0,1,0,0,1,0,1,30318
03/15/2018,0,1,2,0,2,1,3,30318
03/16/2018,0,0,2,0,1,1,2,30318
03/17/2018,0,0,0,0,0,0,0,30318
03/18/2018,0,0,2,0,2,0,2,30318
03/19/2018,0,0,1,0,1,0,1,30318
03/20/2018,0,2,2,0,3,1,4,30318
03/21/2018,0,0,0,0,0,0,0,30318
03/22/2018,0,0,0,0,0,0,0,30318
03/23/2018,0,0,2,0,0,2,2,30318
03/24/2018,0,0,2,0,2,0,2,30318
03/25/2018,0,0,0,0,0,0,0,30318
03/26/2018,0,0,0,0,0,0,0,30318
03/27/2018,0,0,0,0,0,0,0,30318
03/28/2018,0,0,1,0,0,1,1,30318
03/29/2018,0,1,2,0,1,2,3,30318
03/30/2018,0,0,1,0,0,1,1,30318
03/31/2018,0,0,0,0,0,0,0,30318
04/01/2018,0,4,0,0,0,4,4,30318
04/02/2018,0,0,0,0,0,0,0,30318
04/03/2018,0,0,1,0,1,0,1,30318
04/04/2018,0,0,1,0,0,1,1,30318
04/05/2018,0,1,0,0,1,0,1,30318
04/06/2018,0,0,0,0,0,0,0,30318
04/07/2018,0,0,0,0,0,0,0,30318
04/08/2018,0,0,0,0,0,0,0,30318
04/09/2018,0,0,0,0,0,0,0,30318
04/10/2018,0,0,0,0,0,0,0,30318
04/11/2018,0,0,1,0,1,0,1,30318
04/12/2018,0,0,0,0,0,0,0,30318
04/13/2018,0,0,2,0,1,1,2,30318
04/14/2018,0,0,1,0,0,1,1,30318
04/15/2018,0,0,0,0,0,0,0,30318
04/16/2018,0,0,0,0,0,0,0,30318
04/17/2018,0,0,1,0,0,1,1,30318
04/18/2018,0,1,3,0,1,3,4,30318
04/19/2018,0,0,3,0,2,1,3,30318
04/20/2018,0,0,0,0,0,0,0,30318
04/21/2018,0,0,1,0,0,1,1,30318
04/22/2018,0,0,1,0,0,1,1,30318
04/23/2018,0,0,0,0,0,0,0,30318
04/24/2018,0,0,0,0,0,0,0,30318
04/25/2018,0,0,0,0,0,0,0,30318
04/26/2018,0,1,1,0,1,1,2,30318
04/27/2018,0,1,0,0,0,1,1,30318
04/28/2018,0,0,0,0,0,0,0,30318
04/29/2018,0,0,0,0,0,0,0,30318
04/30/2018,0,0,2,0,1,1,2,30318
05/01/2018,0,0,0,0,0,0,0,30318
05/02/2018,0,0,1,0,1,0,1,30318
05/03/2018,0,0,0,0,0,0,0,30318
05/04/2018,0,0,1,0,1,0,1,30318
05/05/2018,0,0,0,0,0,0,0,30318
05/06/2018,0,0,1,0,1,0,1,30318
05/07/2018,0,0,0,0,0,0,0,30318
05/08/2018,0,1,0,0,0,1,1,30318
05/09/2018,0,0,1,0,1,0,1,30318
05/10/2018,0,0,0,0,0,0,0,30318
05/11/2018,0,0,0,0,0,0,0,30318
05/12/2018,0,0,0,0,0,0,0,30318
05/13/2018,0,0,0,0,0,0,0,30318
05/14/2018,0,0,0,0,0,0,0,30318
05/15/2018,0,0,0,0,0,0,0,30318
05/16/2018,0,0,2,0,1,1,2,30318
05/17/2018,0,0,0,0,0,0,0,30318
05/18/2018,0,0,1,0,0,1,1,30318
05/19/2018,0,0,0,0,0,0,0,30318
05/20/2018,0,0,0,0,0,0,0,30318
05/21/2018,0,0,2,0,2,0,2,30318
05/22/2018,0,0,0,0,0,0,0,30318
05/23/2018,0,0,0,0,0,0,0,30318
05/24/2018,0,0,1,0,0,1,1,30318
05/25/2018,0,0,0,0,0,0,0,30318
05/26/2018,0,0,0,0,0,0,0,30318
05/27/2018,0,0,0,0,0,0,0,30318
05/28/2018,0,1,0,2,0,3,3,30318
05/29/2018,0,0,0,0,0,0,0,30318
05/30/2018,0,0,0,0,0,0,0,30318
05/31/2018,0,0,3,0,3,0,3,30318
06/01/2018,0,0,4,0,2,2,4,30318
06/02/2018,0,0,0,0,0,0,0,30318
06/03/2018,0,0,0,0,0,0,0,30318
06/04/2018,0,0,0,0,0,0,0,30318
06/05/2018,0,0,1,0,1,0,1,30318
06/06/2018,0,0,2,0,2,0,2,30318
06/07/2018,0,0,2,0,0,2,2,30318
06/08/2018,0,1,1,0,1,1,2,30318
06/09/2018,0,0,1,0,0,1,1,30318
06/10/2018,0,0,0,0,0,0,0,30318
06/11/2018,0,0,2,0,1,1,2,30318
06/12/2018,0,0,0,0,0,0,0,30318
06/13/2018,0,0,0,0,0,0,0,30318
06/14/2018,0,0,1,0,0,1,1,30318
06/15/2018,0,0,1,0,0,1,1,30318
06/16/2018,0,0,1,0,0,1,1,30318
06/17/2018,0,0,0,0,0,0,0,30318
06/18/2018,0,0,0,0,0,0,0,30318
06/19/2018,0,2,1,0,3,0,3,30318
06/20/2018,0,2,3,0,3,2,5,30318
06/21/2018,0,0,0,0,0,0,0,30318
06/22/2018,0,0,2,0,2,0,2,30318
06/23/2018,0,0,0,0,0,0,0,30318
06/24/2018,0,0,0,0,0,0,0,30318
06/25/2018,0,0,5,1,3,3,6,30318
06/26/2018,0,0,4,0,3,1,4,30318
06/27/2018,0,1,0,0,1,0,1,30318
06/28/2018,0,0,0,0,0,0,0,30318
06/29/2018,0,1,3,0,2,2,4,30318
06/30/2018,0,0,0,0,0,0,0,30318
07/01/2018,0,0,0,0,0,0,0,30318
07/02/2018,0,1,3,0,4,0,4,30318
07/03/2018,0,0,0,0,0,0,0,30318
07/04/2018,0,0,0,0,0,0,0,30318
07/05/2018,0,1,0,0,0,1,1,30318
07/06/2018,0,1,2,0,3,0,3,30318
07/07/2018,0,0,3,0,2,1,3,30318
07/08/2018,0,0,0,0,0,0,0,30318
07/09/2018,0,0,3,0,1,2,3,30318
07/10/2018,0,0,1,0,1,0,1,30318
07/11/2018,0,1,1,0,0,2,2,30318
07/12/2018,0,0,0,0,0,0,0,30318
07/13/2018,0,0,1,0,0,1,1,30318
