Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
01/01/2018,0,0,0,0,0,0,0,30339
01/02/2018,0,0,3,0,0,3,3,30339
01/03/2018,0,0,0,0,0,0,0,30339
01/04/2018,0,0,0,0,0,0,0,30339
01/05/2018,0,0,0,0,0,0,0,30339
01/06/2018,0,0,0,0,0,0,0,30339
01/07/2018,0,0,0,0,0,0,0,30339
01/08/2018,0,0,0,0,0,0,0,30339
01/09/2018,0,2,3,0,1,4,5,30339
01/10/2018,0,1,0,0,0,1,1,30339
01/11/2018,0,0,1,0,0,1,1,30339
01/12/2018,0,0,2,0,0,2,2,30339
01/13/2018,0,0,1,0,0,1,1,30339
01/14/2018,0,0,1,0,0,1,1,30339
01/15/2018,0,2,1,0,0,3,3,30339
01/16/2018,0,0,0,0,0,0,0,30339
01/17/2018,0,0,1,0,0,1,1,30339
01/18/2018,0,0,0,0,0,0,0,30339
01/19/2018,0,0,2,0,1,1,2,30339
01/20/2018,0,0,0,0,0,0,0,30339
01/21/2018,0,0,1,0,0,1,1,30339
01/22/2018,0,0,3,0,0,3,3,30339
01/23/2018,0,0,1,0,1,0,1,30339
01/24/2018,0,1,0,0,0,1,1,30339
01/25/2018,0,0,0,0,0,0,0,30339
01/26/2018,0,0,2,0,0,2,2,30339
01/27/2018,0,0,0,0,0,0,0,30339
01/28/2018,0,0,1,0,0,1,1,30339
01/29/2018,0,2,5,0,1,6,7,30339
01/30/2018,0,0,1,0,0,1,1,30339
01/31/2018,0,1,1,0,0,2,2,30339
02/01/2018,0,0,2,0,0,2,2,30339
02/02/2018,0,0,2,1,0,3,3,30339
02/03/2018,0,0,2,0,0,2,2,30339
02/04/2018,0,0,0,0,0,0,0,30339
02/05/2018,0,1,0,0,0,1,1,30339
02/06/2018,0,0,1,0,0,1,1,30339
02/07/2018,0,0,1,0,1,0,1,30339
02/08/2018,0,1,1,0,0,2,2,30339
02/09/2018,0,0,0,0,0,0,0,30339
02/10/2018,0,0,1,0,0,1,1,30339
02/11/2018,0,0,0,0,0,0,0,30339
02/12/2018,0,0,0,0,0,0,0,30339
02/13/2018,0,0,0,0,0,0,0,30339
02/14/2018,0,0,2,0,0,2,2,30339
02/15/2018,0,1,0,0,0,1,1,30339
02/16/2018,0,0,0,0,0,0,0,30339
02/17/2018,0,1,1,0,0,2,2,30339
02/18/2018,0,0,0,0,0,0,0,30339
02/19/2018,0,0,3,0,0,3,3,30339
02/20/2018,0,0,2,0,0,2,2,30339
02/21/2018,0,0,1,0,0,1,1,30339
02/22/2018,0,0,2,0,0,2,2,30339
02/23/2018,0,1,1,0,0,2,2,30339
02/24/2018,0,0,1,0,0,1,1,30339
02/25/2018,0,0,0,0,0,0,0,30339
02/26/2018,0,0,0,1,0,1,1,30339
02/27/2018,0,0,0,0,0,0,0,30339
02/28/2018,0,0,0,0,0,0,0,30339
03/01/2018,0,1,1,0,0,2,2,30339
03/02/2018,0,0,1,0,0,1,1,30339
03/03/2018,0,0,0,0,0,0,0,30339
03/04/2018,0,0,0,0,0,0,0,30339
03/05/2018,0,0,1,0,0,1,1,30339
03/06/2018,0,1,2,0,0,3,3,30339
03/07/2018,0,0,0,0,0,0,0,30339
03/08/2018,0,0,1,0,0,1,1,30339
03/09/2018,0,0,0,0,0,0,0,30339
03/10/2018,0,0,1,1,0,2,2,30339
03/11/2018,0,0,1,0,0,1,1,30339
03/12/2018,0,4,0,0,0,4,4,30339
03/13/2018,0,0,0,0,0,0,0,30339
03/14/2018,0,0,0,0,0,0,0,30339
03/15/2018,0,0,1,0,0,1,1,30339
03/16/2018,0,0,0,0,0,0,0,30339
03/17/2018,0,0,0,0,0,0,0,30339
03/18/2018,0,1,0,0,0,1,1,30339
03/19/2018,0,0,1,0,1,0,1,30339
03/20/2018,0,1,1,0,1,1,2,30339
03/21/2018,0,0,1,0,0,1,1,30339
03/22/2018,0,1,1,0,0,2,2,30339
03/23/2018,0,1,0,0,0,1,1,30339
03/24/2018,0,0,0,0,0,0,0,30339
03/25/2018,0,0,1,0,0,1,1,30339
03/26/2018,0,0,0,0,0,0,0,30339
03/27/2018,0,0,4,0,0,4,4,30339
03/28/2018,0,0,0,0,0,0,0,30339
03/29/2018,0,0,2,0,0,2,2,30339
03/30/2018,0,0,1,0,0,1,1,30339
03/31/2018,0,0,0,0,0,0,0,30339
04/01/2018,0,0,2,0,0,2,2,30339
04/02/2018,0,0,2,0,0,2,2,30339
04/03/2018,0,0,0,0,0,0,0,30339
04/04/2018,0,2,3,0,1,4,5,30339
04/05/2018,0,1,1,0,0,2,2,30339
04/06/2018,0,0,2,0,0,2,2,30339
04/07/2018,0,0,0,0,0,0,0,30339
04/08/2018,0,0,0,0,0,0,0,30339
04/09/2018,0,0,4,0,0,4,4,30339
04/10/2018,0,0,0,0,0,0,0,30339
04/11/2018,0,3,4,0,2,5,7,30339
04/12/2018,0,0,1,0,0,1,1,30339
04/13/2018,0,0,1,0,0,1,1,30339
04/14/2018,0,0,2,0,0,2,2,30339
04/15/2018,0,0,2,0,0,2,2,30339
04/16/2018,0,0,2,0,0,2,2,30339
04/17/2018,0,0,1,0,0,1,1,30339
04/18/2018,0,1,1,0,0,2,2,30339
04/19/2018,0,1,1,0,0,2,2,30339
04/20/2018,0,0,0,0,0,0,0,30339
04/21/2018,0,0,0,0,0,0,0,30339
04/22/2018,0,0,0,0,0,0,0,30339
04/23/2018,0,0,1,0,0,1,1,30339
04/24/2018,0,0,1,0,1,0,1,30339
04/25/2018,0,7,2,0,0,9,9,30339
04/26/2018,0,0,3,0,1,2,3,30339
04/27/2018,0,2,1,0,0,3,3,30339
04/28/2018,0,0,0,0,0,0,0,30339
04/29/2018,0,0,0,0,0,0,0,30339
04/30/2018,0,0,1,0,0,1,1,30339
05/01/2018,0,0,0,0,0,0,0,30339
05/02/2018,0,1,2,0,0,3,3,30339
05/03/2018,0,1,1,0,0,2,2,30339
05/04/2018,0,2,1,0,0,3,3,30339
05/05/2018,0,0,1,1,0,2,2,30339
05/06/2018,0,0,0,0,0,0,0,30339
05/07/2018,0,1,2,0,0,3,3,30339
05/08/2018,0,0,1,0,0,1,1,30339
05/09/2018,0,0,0,0,0,0,0,30339
05/10/2018,0,0,1,0,0,1,1,30339
05/11/2018,0,1,4,0,0,5,5,30339
05/12/2018,0,0,2,0,0,2,2,30339
05/13/2018,0,0,0,0,0,0,0,30339
05/14/2018,0,0,1,0,0,1,1,30339
