Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30309, USA",,1/1/2018,27.8,17.9,21.8,5.9,,0,,13.4,,66.1,50.8,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/2/2018,34.8,11.5,22.8,4.6,,0,,5.5,,6.5,50.05,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/3/2018,36.9,25.5,30,20,,0,,11.4,,33.4,37.28,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/4/2018,32.8,20.4,26.2,8.3,,0,,19.2,34.4,0,43.11,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/5/2018,35.5,16,24.8,3.6,,0,,12.5,,2.7,40.8,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/6/2018,37.8,20.2,28,14.1,,0,,13.7,,3.4,38.23,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/7/2018,37.4,18.2,28.3,13.4,,0,,10.3,,11.3,39.87,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/8/2018,39.3,30.4,34.6,23.6,,0.1,,6.8,,84.6,61.4,"Rain, Overcast","DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/9/2018,63.4,35.9,48.4,36.6,,0,,6.6,,66,87.89,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30309, USA",,1/10/2018,64,51,57.8,,,0,,10.1,,98.6,75.97,Overcast,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,7.4mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,7.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
