,Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Date,30342_Accidents
0,,30342, USA,2019-01-01,64.3,55.2,60.1,,,0.2,,6.6,,56.6,91.32,"Rain, Partially cloudy",01/01/2019,3.0
1,,30342, USA,2019-01-02,56.9,47.2,51.4,46.3,,0.4,,7.1,,67.1,93.21,"Rain, Partially cloudy",01/02/2019,1.0
2,,30342, USA,2019-01-03,53.9,49.2,51.8,47.4,,0.4,,7.8,,99.3,97.34,"Rain, Overcast",01/03/2019,2.0
3,,30342, USA,2019-01-04,64.0,44.2,53.4,39.1,,1.0,,19.7,34.2,88.8,88.43,"Rain, Overcast",01/04/2019,1.0
4,,30342, USA,2019-01-05,56.4,43.1,47.7,35.2,,0.0,,18.0,31.1,43.9,67.09,Partially cloudy,01/05/2019,
5,,30342, USA,2019-01-06,68.0,39.5,51.7,37.2,,0.0,,8.6,,4.0,63.39,Clear,01/06/2019,1.0
6,,30342, USA,2019-01-07,66.6,38.1,51.8,,,0.0,,10.0,,10.0,69.94,Clear,01/07/2019,1.0
7,,30342, USA,2019-01-08,64.2,46.8,55.0,47.1,,0.0,,11.0,,49.7,79.14,Partially cloudy,01/08/2019,1.0
8,,30342, USA,2019-01-09,55.4,38.4,46.0,28.5,,0.0,,21.3,34.4,0.0,39.71,Clear,01/09/2019,2.0
9,,30342, USA,2019-01-10,44.1,28.2,35.4,17.8,,0.0,,16.5,32.2,5.3,51.14,Clear,01/10/2019,4.0
10,,30342, USA,2019-01-11,52.3,26.2,38.8,29.4,,0.0,,6.9,,9.9,51.91,Clear,01/11/2019,
11,,30342, USA,2019-01-12,41.6,35.4,39.2,29.5,,0.3,,10.0,,92.9,60.79,"Rain, Overcast",01/12/2019,
12,,30342, USA,2019-01-13,44.3,34.4,38.8,28.1,,0.2,,9.4,,100.0,93.61,"Rain, Overcast",01/13/2019,1.0
13,,30342, USA,2019-01-14,45.6,38.4,42.3,31.1,,0.0,,13.1,,100.0,80.0,Overcast,01/14/2019,3.0
14,,30342, USA,2019-01-15,44.6,32.3,37.2,26.4,,0.0,,15.3,,56.9,72.98,Partially cloudy,01/15/2019,1.0
15,,30342, USA,2019-01-16,51.7,29.1,37.8,20.9,,0.0,,10.0,,7.6,75.94,Clear,01/16/2019,1.0
16,,30342, USA,2019-01-17,48.2,30.2,39.2,36.7,,0.2,,4.7,,54.6,90.7,"Rain, Partially cloudy",01/17/2019,4.0
17,,30342, USA,2019-01-18,55.5,44.3,48.5,43.3,,0.0,,4.5,,65.1,93.71,Partially cloudy,01/18/2019,
18,,30342, USA,2019-01-19,61.4,46.3,54.2,47.9,,0.8,,13.3,,85.3,96.31,"Rain, Overcast",01/19/2019,
19,,30342, USA,2019-01-20,52.1,27.2,34.7,16.0,,0.0,,22.6,37.8,62.7,67.0,Partially cloudy,01/20/2019,
20,,30342, USA,2019-01-21,42.2,20.1,29.9,9.8,,0.0,,16.4,,5.2,45.63,Clear,01/21/2019,
21,,30342, USA,2019-01-22,42.6,28.6,36.0,21.3,,0.0,,10.8,,57.4,37.17,Partially cloudy,01/22/2019,
22,,30342, USA,2019-01-23,65.5,40.4,50.6,34.2,,1.4,,15.6,31.1,96.9,70.55,"Rain, Overcast",01/23/2019,1.0
23,,30342, USA,2019-01-24,52.5,33.3,41.3,26.8,,0.4,,20.2,37.8,62.1,80.7,"Rain, Partially cloudy",01/24/2019,1.0
24,,30342, USA,2019-01-25,44.6,29.5,35.8,21.7,,0.0,,14.1,,4.5,60.08,Clear,01/25/2019,2.0
25,,30342, USA,2019-01-26,48.6,24.5,35.5,21.6,,0.0,,12.6,,2.8,62.58,Clear,01/26/2019,
26,,30342, USA,2019-01-27,50.3,27.6,37.8,45.1,,0.0,,6.9,,14.4,75.86,Clear,01/27/2019,
27,,30342, USA,2019-01-28,56.5,27.3,42.6,44.4,,0.0,,13.5,,45.7,69.54,Partially cloudy,01/28/2019,1.0
28,,30342, USA,2019-01-29,50.0,27.0,39.8,16.6,,0.1,,16.9,29.8,59.7,63.53,"Rain, Partially cloudy",01/29/2019,
29,,30342, USA,2019-01-30,42.1,20.3,30.5,14.1,,0.0,,15.4,29.8,7.7,49.29,Clear,01/30/2019,1.0
30,,30342, USA,2019-01-31,50.1,23.9,35.4,18.7,,0.0,,9.0,,14.4,54.28,Clear,01/31/2019,2.0
31,,30342, USA,2019-02-01,59.6,25.8,41.1,39.3,,0.0,,6.8,,6.4,58.71,Clear,02/01/2019,
32,,30342, USA,2019-02-02,65.2,30.6,49.3,30.6,,0.0,,6.2,,42.1,64.69,Partially cloudy,02/02/2019,2.0
33,,30342, USA,2019-02-03,62.7,44.8,54.3,,,0.0,,6.8,,70.3,72.41,Partially cloudy,02/03/2019,
34,,30342, USA,2019-02-04,64.4,38.1,50.9,,,0.0,,6.0,,45.4,83.61,Partially cloudy,02/04/2019,
35,,30342, USA,2019-02-05,71.0,53.9,60.9,,,0.0,,6.7,,77.1,83.4,Overcast,02/05/2019,5.0
36,,30342, USA,2019-02-06,69.3,53.6,62.3,,,0.1,,9.5,,89.7,93.19,"Rain, Overcast",02/06/2019,3.0
37,,30342, USA,2019-02-07,78.5,61.7,69.1,,,0.0,,17.5,31.1,48.8,72.63,Partially cloudy,02/07/2019,1.0
38,,30342, USA,2019-02-08,66.5,41.1,52.4,34.2,,0.0,,20.2,32.2,49.2,55.23,Partially cloudy,02/08/2019,
39,,30342, USA,2019-02-09,53.4,37.0,44.3,30.8,,0.0,,11.1,,64.6,40.63,Partially cloudy,02/09/2019,
40,,30342, USA,2019-02-10,44.4,35.4,39.1,29.8,,0.1,,9.1,,80.4,64.87,"Rain, Overcast",02/10/2019,
41,,30342, USA,2019-02-11,54.1,36.2,44.4,31.8,,0.1,,5.4,,95.4,97.29,"Rain, Overcast",02/11/2019,
42,,30342, USA,2019-02-12,66.4,48.1,56.0,42.1,,0.9,,15.3,35.6,79.5,93.2,"Rain, Overcast",02/12/2019,2.0
43,,30342, USA,2019-02-13,54.1,35.2,43.7,29.3,,0.0,,18.1,32.2,4.2,49.35,Clear,02/13/2019,
44,,30342, USA,2019-02-14,62.3,30.0,46.8,,,0.0,,10.6,,16.1,54.82,Clear,02/14/2019,6.0
45,,30342, USA,2019-02-15,59.2,48.4,54.5,46.8,,0.2,,10.4,,92.8,80.43,"Rain, Overcast",02/15/2019,1.0
46,,30342, USA,2019-02-16,59.4,46.4,53.7,44.5,,0.1,,13.4,,66.0,88.8,"Rain, Partially cloudy",02/16/2019,
47,,30342, USA,2019-02-17,49.3,43.6,46.5,38.8,,0.2,,10.9,,79.5,94.42,"Rain, Overcast",02/17/2019,1.0
48,,30342, USA,2019-02-18,56.9,43.4,48.0,38.2,,0.1,,15.9,,54.4,69.81,"Rain, Partially cloudy",02/18/2019,1.0
49,,30342, USA,2019-02-19,45.1,36.3,40.6,28.8,,1.6,,13.2,,99.4,83.02,"Rain, Overcast",02/19/2019,3.0
50,,30342, USA,2019-02-20,42.5,37.5,39.8,31.0,,0.4,,11.6,,99.3,97.1,"Rain, Overcast",02/20/2019,
51,,30342, USA,2019-02-21,60.5,41.4,50.0,38.0,,0.8,,7.8,,85.0,97.05,"Rain, Overcast",02/21/2019,2.0
52,,30342, USA,2019-02-22,57.3,49.4,53.0,45.2,,0.1,,10.7,,78.1,98.21,"Rain, Overcast",02/22/2019,3.0
53,,30342, USA,2019-02-23,49.2,45.2,47.6,41.8,,0.0,,10.0,,100.0,98.18,Overcast,02/23/2019,
54,,30342, USA,2019-02-24,61.3,45.5,53.7,41.7,,0.3,,23.4,37.4,41.9,62.42,"Rain, Partially cloudy",02/24/2019,
55,,30342, USA,2019-02-25,60.2,38.2,48.4,31.8,,0.0,,12.2,,8.4,34.94,Clear,02/25/2019,4.0
56,,30342, USA,2019-02-26,64.5,38.5,53.2,41.6,,0.0,,8.6,,59.2,58.03,Partially cloudy,02/26/2019,3.0
57,,30342, USA,2019-02-27,65.4,51.2,58.6,,,0.0,,4.8,,78.0,82.28,Overcast,02/27/2019,1.0
58,,30342, USA,2019-02-28,61.5,52.3,57.3,,,0.3,,7.0,,76.7,95.65,"Rain, Overcast",02/28/2019,2.0
59,,30342, USA,2019-03-01,66.5,58.1,61.4,,,0.0,,12.2,,97.6,88.67,Overcast,03/01/2019,
60,,30342, USA,2019-03-02,64.5,49.1,57.1,46.0,,0.0,,9.2,,77.4,75.75,Overcast,03/02/2019,2.0
