Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30318, USA",,1/1/2018,28.4,17.9,21.9,5.2,,0,,14.4,,66.7,50.9,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/2/2018,34.8,11.8,23,4.8,,0,,5,,5.6,51.45,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/3/2018,37.5,25.4,30.3,20.8,,0,,10.1,,32.8,39.78,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/4/2018,33.4,20.6,26.6,9.8,,0,,19.8,34.4,0,42.93,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/5/2018,36.3,16,25.3,4.6,,0,,11.8,,2.4,40.64,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/6/2018,38.4,20.2,28.4,15.7,,0,,13.1,,2.9,39.02,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/7/2018,38.3,18.2,28.7,13.4,,0,,11.4,,9.7,41.65,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/8/2018,40.2,31.2,35.2,24.2,,0.1,,8.3,,84.1,62.82,"Rain, Overcast","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/9/2018,63.8,35.5,48.2,34,,0,,7.5,,65,89.64,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/10/2018,64.4,49.5,58.1,,,0,,10.1,,98.5,78,Overcast,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/11/2018,58.5,52.2,55.7,,,0.1,,11.4,,94.5,98.08,"Rain, Overcast","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/12/2018,61.4,28.6,51.9,16,,0.7,,19.1,33.3,90.3,93.23,"Rain, Overcast","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/13/2018,34.5,23.8,29.3,13,,0,,18.6,33.3,62.3,68.87,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/14/2018,39.4,16.9,27.3,9.7,,0,,9.9,,4.7,57.93,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/15/2018,47.2,24.8,33.7,20.6,,0,,6.6,,16.9,61.5,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/16/2018,48.7,25.2,34.9,16.4,,0,,12.2,,45.7,74.27,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/17/2018,25.5,13.7,19.8,-2.3,,0,,19.1,33.3,30.1,66.31,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/18/2018,40.4,14.9,25.9,2.8,,0,,11.8,,0,53.01,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/19/2018,52.5,25.9,35.9,21.9,,0,,8.8,,1.8,39.91,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,1/20/2018,61.9,26.5,41.8,45.5,,0,,10.5,,23,61.63,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
