Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30324, USA",,1/1/2018,27.3,17.4,21.8,5.6,,0,,13.8,,66,50.92,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/2/2018,34.8,11.3,22.6,4.3,,0,,5.8,,4.8,49.16,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/3/2018,36.4,25.3,29.8,19.3,,0,,12.5,,33.2,35.51,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/4/2018,32.4,20.2,25.9,7.3,,0,,20.4,34.4,0,43.33,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/5/2018,34.8,16,24.4,3,,0,,13.1,,2,41,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/6/2018,37.5,20.2,27.7,12.5,,0,,14.3,,2.5,37.83,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/7/2018,36.7,18.1,27.9,13.4,,0,,10.4,,8.3,38.84,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/8/2018,38.7,29.7,34.1,23.8,,0.1,,6,,84.7,60.38,"Rain, Overcast","DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/9/2018,63.1,35.9,48.5,37.3,,0,,6.6,,66.3,86.52,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/10/2018,64.1,52,57.6,,,0,,10.8,,98.9,74.62,Overcast,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/11/2018,57.4,50.8,54.4,,,0.2,,10.8,,92.4,97.14,"Rain, Overcast","DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/12/2018,60.5,28.2,51.5,15.9,,0.6,,21,33.3,85.1,91.68,"Rain, Overcast","DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/13/2018,34.1,23.2,28.9,11.4,,0,,21.7,33.3,58.3,67.8,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/14/2018,39,16.9,27,9.7,,0,,10.1,,4,57.4,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/15/2018,45.7,25.2,33.3,21.6,,0,,6,,18.7,58.05,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/16/2018,48.7,25.2,35,16.7,,0,,14.4,,43.4,69.67,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/17/2018,25.1,13.1,19.2,-2.5,,0,,20.8,33.3,29.3,66.31,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/18/2018,39.3,14.3,25.5,0.9,,0,,11.5,,0,52.64,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/19/2018,51.6,25,35.5,18.2,,0,,9.3,,1.5,39.31,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/20/2018,60,26.5,41.4,40.8,,0,,13.4,,18.8,58.74,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
,"30324, USA",,1/21/2018,67.4,32.4,48.6,,,0,,7.3,,0,70.84,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,5.1mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,9.8mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,11.0mi)"
