Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
01/01/2018,0,0,1,0,0,1,1,30340
01/02/2018,0,0,4,0,1,3,4,30340
01/03/2018,0,0,1,0,0,1,1,30340
01/04/2018,0,0,0,0,0,0,0,30340
01/05/2018,0,0,1,0,0,1,1,30340
01/06/2018,0,0,2,0,1,1,2,30340
01/07/2018,0,0,0,0,0,0,0,30340
01/08/2018,0,0,2,0,1,1,2,30340
01/09/2018,0,1,2,0,1,2,3,30340
01/10/2018,0,0,0,0,0,0,0,30340
01/11/2018,0,2,2,0,0,4,4,30340
01/12/2018,0,0,4,0,0,4,4,30340
01/13/2018,0,0,0,0,0,0,0,30340
01/14/2018,0,0,0,0,0,0,0,30340
01/15/2018,0,0,2,0,0,2,2,30340
01/16/2018,0,0,0,0,0,0,0,30340
01/17/2018,0,0,0,0,0,0,0,30340
01/18/2018,0,0,0,0,0,0,0,30340
01/19/2018,0,0,1,0,0,1,1,30340
01/20/2018,0,0,0,0,0,0,0,30340
01/21/2018,0,0,0,0,0,0,0,30340
01/22/2018,0,0,1,0,1,0,1,30340
01/23/2018,0,1,4,0,0,5,5,30340
01/24/2018,0,0,1,0,0,1,1,30340
01/25/2018,0,1,1,0,1,1,2,30340
01/26/2018,0,0,2,0,0,2,2,30340
01/27/2018,0,0,2,0,1,1,2,30340
01/28/2018,0,0,1,0,0,1,1,30340
01/29/2018,0,1,2,0,0,3,3,30340
01/30/2018,0,1,1,1,1,2,3,30340
01/31/2018,0,0,1,0,0,1,1,30340
02/01/2018,0,0,0,0,0,0,0,30340
02/02/2018,0,0,1,0,0,1,1,30340
02/03/2018,0,0,0,0,0,0,0,30340
02/04/2018,0,0,1,0,0,1,1,30340
02/05/2018,0,2,1,0,0,3,3,30340
02/06/2018,0,1,4,0,0,5,5,30340
02/07/2018,0,0,1,1,0,2,2,30340
02/08/2018,0,0,1,0,0,1,1,30340
02/09/2018,0,0,0,0,0,0,0,30340
02/10/2018,0,0,2,0,2,0,2,30340
02/11/2018,0,0,0,0,0,0,0,30340
02/12/2018,0,0,1,0,1,0,1,30340
02/13/2018,0,0,1,0,0,1,1,30340
02/14/2018,0,0,0,0,0,0,0,30340
02/15/2018,0,0,1,0,0,1,1,30340
02/16/2018,0,1,4,0,0,5,5,30340
02/17/2018,0,0,3,0,0,3,3,30340
02/18/2018,0,0,0,0,0,0,0,30340
02/19/2018,0,0,1,0,1,0,1,30340
02/20/2018,0,1,2,0,1,2,3,30340
02/21/2018,0,0,5,0,1,4,5,30340
02/22/2018,0,0,1,0,0,1,1,30340
02/23/2018,0,0,2,0,1,1,2,30340
02/24/2018,0,0,0,0,0,0,0,30340
02/25/2018,0,1,2,0,1,2,3,30340
02/26/2018,0,0,0,0,0,0,0,30340
02/27/2018,0,0,3,1,1,3,4,30340
02/28/2018,0,0,0,0,0,0,0,30340
03/01/2018,0,0,0,0,0,0,0,30340
03/02/2018,0,0,1,0,0,1,1,30340
