,Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Date,30340_Accidents
0,,30340, USA,2019-01-01,64.2,55.1,60.0,,,0.2,,6.8,,58.5,91.19,"Rain, Partially cloudy",01/01/2019,1.0
1,,30340, USA,2019-01-02,56.9,47.1,51.3,46.0,,0.4,,7.0,,66.2,93.16,"Rain, Partially cloudy",01/02/2019,2.0
2,,30340, USA,2019-01-03,53.9,48.9,51.7,46.7,,0.4,,7.9,,99.2,97.34,"Rain, Overcast",01/03/2019,2.0
3,,30340, USA,2019-01-04,64.1,44.1,53.3,39.0,,1.0,,20.5,34.4,89.7,88.2,"Rain, Overcast",01/04/2019,6.0
4,,30340, USA,2019-01-05,56.1,43.1,47.5,35.0,,0.0,,18.2,31.1,44.7,67.29,Partially cloudy,01/05/2019,1.0
5,,30340, USA,2019-01-06,68.1,39.1,51.7,37.2,,0.0,,9.0,,1.1,63.11,Clear,01/06/2019,
6,,30340, USA,2019-01-07,66.1,38.1,51.6,45.8,,0.0,,10.2,,2.7,70.15,Clear,01/07/2019,
7,,30340, USA,2019-01-08,64.2,46.3,54.8,46.3,,0.0,,11.3,,46.3,79.02,Partially cloudy,01/08/2019,
8,,30340, USA,2019-01-09,55.2,38.1,45.8,27.9,,0.0,,22.5,34.4,0.0,40.02,Clear,01/09/2019,1.0
9,,30340, USA,2019-01-10,44.0,28.2,35.3,17.7,,0.0,,17.0,32.2,1.4,51.49,Clear,01/10/2019,3.0
10,,30340, USA,2019-01-11,52.1,26.0,38.6,25.8,,0.0,,6.9,,6.9,52.2,Clear,01/11/2019,3.0
11,,30340, USA,2019-01-12,41.2,35.1,38.9,29.8,,0.3,,10.1,,93.2,60.96,"Rain, Overcast",01/12/2019,
12,,30340, USA,2019-01-13,44.1,34.2,38.5,27.5,,0.2,,10.0,,100.0,93.72,"Rain, Overcast",01/13/2019,
13,,30340, USA,2019-01-14,46.0,38.1,42.2,30.8,,0.0,,13.6,,100.0,79.84,Overcast,01/14/2019,2.0
14,,30340, USA,2019-01-15,44.8,32.1,37.2,25.8,,0.0,,16.7,,54.9,73.06,Partially cloudy,01/15/2019,1.0
15,,30340, USA,2019-01-16,52.0,29.1,37.8,20.2,,0.0,,11.0,,3.1,75.72,Clear,01/16/2019,2.0
16,,30340, USA,2019-01-17,48.6,30.0,39.2,36.8,,0.2,,4.7,,52.8,90.52,"Rain, Partially cloudy",01/17/2019,3.0
17,,30340, USA,2019-01-18,55.2,44.1,48.3,42.7,,0.0,,4.6,,63.6,93.49,Partially cloudy,01/18/2019,1.0
18,,30340, USA,2019-01-19,61.2,46.2,54.0,48.0,,0.8,,12.7,,86.1,96.4,"Rain, Overcast",01/19/2019,
19,,30340, USA,2019-01-20,52.1,27.0,34.6,15.6,,0.0,,23.7,37.8,63.5,67.06,Partially cloudy,01/20/2019,
20,,30340, USA,2019-01-21,42.2,20.1,29.9,9.3,,0.0,,17.0,,1.4,45.7,Clear,01/21/2019,
21,,30340, USA,2019-01-22,42.3,28.3,35.7,21.6,,0.0,,10.4,,56.6,37.32,Partially cloudy,01/22/2019,1.0
22,,30340, USA,2019-01-23,65.2,40.0,50.2,33.9,,1.4,,16.8,31.1,97.0,70.38,"Rain, Overcast",01/23/2019,1.0
23,,30340, USA,2019-01-24,52.2,33.2,41.3,26.4,,0.3,,21.4,37.8,61.8,80.47,"Rain, Partially cloudy",01/24/2019,6.0
24,,30340, USA,2019-01-25,44.1,29.2,35.6,21.2,,0.0,,14.7,,1.2,60.17,Clear,01/25/2019,1.0
25,,30340, USA,2019-01-26,48.1,24.3,35.4,21.8,,0.0,,14.3,,0.7,62.48,Clear,01/26/2019,1.0
26,,30340, USA,2019-01-27,50.1,27.1,37.6,39.5,,0.0,,7.7,,6.3,75.85,Clear,01/27/2019,
27,,30340, USA,2019-01-28,56.2,27.0,42.4,44.6,,0.0,,13.8,,45.1,69.63,Partially cloudy,01/28/2019,
28,,30340, USA,2019-01-29,50.1,26.9,39.8,16.2,,0.1,,17.9,29.8,58.7,63.47,"Rain, Partially cloudy",01/29/2019,
29,,30340, USA,2019-01-30,42.2,20.1,30.4,13.5,,0.0,,16.7,29.8,2.1,49.22,Clear,01/30/2019,
30,,30340, USA,2019-01-31,50.1,23.3,35.1,17.5,,0.0,,9.9,,12.7,54.87,Clear,01/31/2019,
31,,30340, USA,2019-02-01,59.2,25.3,40.8,23.6,,0.0,,6.9,,1.7,58.98,Clear,02/01/2019,1.0
32,,30340, USA,2019-02-02,65.1,30.1,49.2,30.0,,0.0,,5.9,,40.0,64.67,Partially cloudy,02/02/2019,
33,,30340, USA,2019-02-03,62.8,44.9,54.2,,,0.0,,6.9,,68.9,71.97,Partially cloudy,02/03/2019,
34,,30340, USA,2019-02-04,64.2,38.1,50.8,,,0.0,,5.9,,41.8,83.39,Partially cloudy,02/04/2019,5.0
35,,30340, USA,2019-02-05,71.0,53.9,60.8,,,0.0,,7.7,,75.9,83.01,Overcast,02/05/2019,5.0
36,,30340, USA,2019-02-06,69.2,53.2,62.1,,,0.1,,10.1,,91.4,93.49,"Rain, Overcast",02/06/2019,1.0
37,,30340, USA,2019-02-07,78.3,61.3,68.9,,,0.0,,18.1,31.1,44.8,72.64,Partially cloudy,02/07/2019,
38,,30340, USA,2019-02-08,66.1,41.1,52.5,33.8,,0.0,,21.4,32.2,43.1,55.13,Partially cloudy,02/08/2019,1.0
39,,30340, USA,2019-02-09,53.1,37.1,44.3,30.6,,0.0,,11.2,,61.8,40.46,Partially cloudy,02/09/2019,5.0
40,,30340, USA,2019-02-10,44.1,35.1,38.8,30.5,,0.1,,8.3,,79.5,65.02,"Rain, Overcast",02/10/2019,2.0
41,,30340, USA,2019-02-11,53.9,36.0,44.2,31.9,,0.1,,4.9,,98.8,97.33,"Rain, Overcast",02/11/2019,6.0
42,,30340, USA,2019-02-12,66.1,48.0,55.7,42.0,,0.9,,15.1,35.6,78.7,93.3,"Rain, Overcast",02/12/2019,3.0
43,,30340, USA,2019-02-13,53.9,35.0,43.6,29.0,,0.0,,19.2,32.2,1.1,49.47,Clear,02/13/2019,
44,,30340, USA,2019-02-14,62.1,30.0,46.6,46.0,,0.0,,10.4,,11.6,55.14,Clear,02/14/2019,2.0
45,,30340, USA,2019-02-15,59.1,48.1,54.4,46.2,,0.2,,11.1,,95.5,80.4,"Rain, Overcast",02/15/2019,1.0
46,,30340, USA,2019-02-16,59.2,46.2,53.6,44.1,,0.1,,14.5,,59.9,88.44,"Rain, Partially cloudy",02/16/2019,2.0
47,,30340, USA,2019-02-17,49.0,43.2,46.2,38.3,,0.2,,11.3,,78.7,94.47,"Rain, Overcast",02/17/2019,
48,,30340, USA,2019-02-18,56.9,43.2,47.9,37.7,,0.1,,16.8,,48.4,69.69,"Rain, Partially cloudy",02/18/2019,1.0
49,,30340, USA,2019-02-19,45.0,36.0,40.5,28.7,,1.7,,13.7,,99.5,82.67,"Rain, Overcast",02/19/2019,3.0
50,,30340, USA,2019-02-20,42.3,37.2,39.5,31.1,,0.4,,10.6,,99.8,97.25,"Rain, Overcast",02/20/2019,
51,,30340, USA,2019-02-21,60.9,41.2,50.0,38.0,,0.8,,8.0,,83.9,96.77,"Rain, Overcast",02/21/2019,
52,,30340, USA,2019-02-22,57.7,49.0,53.0,44.7,,0.0,,11.2,,76.0,98.1,Overcast,02/22/2019,6.0
53,,30340, USA,2019-02-23,48.9,45.0,47.3,41.4,,0.0,,10.1,,100.0,98.12,Overcast,02/23/2019,
54,,30340, USA,2019-02-24,61.1,45.0,53.4,41.2,,0.3,,22.9,37.7,38.4,62.61,"Rain, Partially cloudy",02/24/2019,
55,,30340, USA,2019-02-25,60.2,38.1,48.4,31.4,,0.0,,12.6,,2.2,35.01,Clear,02/25/2019,
56,,30340, USA,2019-02-26,64.2,38.2,53.1,39.6,,0.0,,9.0,,54.9,57.55,Partially cloudy,02/26/2019,
57,,30340, USA,2019-02-27,65.1,50.4,58.5,,,0.0,,5.5,,78.2,82.32,Overcast,02/27/2019,2.0
58,,30340, USA,2019-02-28,61.2,51.5,57.1,,,0.3,,7.0,,79.1,95.79,"Rain, Overcast",02/28/2019,
59,,30340, USA,2019-03-01,66.1,57.9,61.3,,,0.0,,12.6,,97.8,88.71,Overcast,03/01/2019,
60,,30340, USA,2019-03-02,64.2,48.9,57.1,45.9,,0.0,,10.0,,74.2,75.77,Partially cloudy,03/02/2019,
61,,30340, USA,2019-03-03,60.1,42.2,53.9,34.5,,1.1,,21.3,29.8,86.8,85.03,"Rain, Overcast",03/03/2019,
62,,30340, USA,2019-03-04,41.1,33.2,36.9,24.0,,0.0,,19.5,31.1,76.3,69.45,Overcast,03/04/2019,
63,,30340, USA,2019-03-05,43.1,25.1,33.6,13.7,,0.0,,18.2,29.8,13.8,44.65,Clear,03/05/2019,
64,,30340, USA,2019-03-06,44.0,25.1,33.8,15.1,,0.0,,15.9,,0.4,39.2,Clear,03/06/2019,5.0
65,,30340, USA,2019-03-07,57.9,25.6,42.8,21.9,,0.0,,7.8,,34.1,39.92,Partially cloudy,03/07/2019,
66,,30340, USA,2019-03-08,65.1,46.4,53.5,44.1,,0.1,,13.2,,99.2,50.78,"Rain, Overcast",03/08/2019,1.0
67,,30340, USA,2019-03-09,65.2,46.2,53.9,42.7,,0.0,,8.2,,71.3,83.22,Partially cloudy,03/09/2019,3.0
68,,30340, USA,2019-03-10,67.0,51.4,59.2,,,0.0,,11.1,,87.9,74.81,Overcast,03/10/2019,
69,,30340, USA,2019-03-11,64.9,49.1,55.4,47.4,,0.0,,9.0,,57.8,74.43,Partially cloudy,03/11/2019,
70,,30340, USA,2019-03-12,70.2,41.3,56.1,45.4,,0.0,,8.1,,2.5,61.93,Clear,03/12/2019,1.0
71,,30340, USA,2019-03-13,66.9,49.0,58.2,47.2,,0.0,,13.9,,0.3,51.28,Clear,03/13/2019,2.0
72,,30340, USA,2019-03-14,73.2,55.3,63.6,,,0.0,,19.3,29.8,76.1,74.37,Overcast,03/14/2019,2.0
73,,30340, USA,2019-03-15,69.3,52.1,60.8,,,0.6,,14.7,,73.5,77.16,"Rain, Partially cloudy",03/15/2019,11.0
