Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30342, USA",,4/1/2018,75.5,40.4,59.1,,,0,,10.4,,8.6,54.18,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/2/2018,79.5,53.4,66.6,,,0,,13.7,,11,43.69,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/3/2018,77.8,53.1,66,,,0,,13.9,,47.2,64.87,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/4/2018,71,48.2,58,43.3,,0.2,,23.5,34.8,39.8,56.1,"Rain, Partially cloudy","DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/5/2018,65.3,36.1,51.2,34.4,,0,,10.3,31.1,6.9,41.88,Clear,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/6/2018,73.1,44.2,58.1,,,0,,16.5,,68.7,52.16,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/7/2018,58.8,40,52.7,32.6,,0.3,,15.9,,96.2,83.57,"Rain, Overcast","DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/8/2018,53,37.1,44.3,29.9,,0,,14.3,,83.5,72.97,Overcast,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/9/2018,57.1,45.2,50,42.8,,0,,6.2,,82.2,81.5,Overcast,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
,"30342, USA",,4/10/2018,68.2,47.8,56.3,46.9,,0,,13.6,,36.6,64.24,Partially cloudy,"DEKALB-PEACHTREE AIRPORT (Id=72219653863,4.0mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,8.7mi), FULTON CO-BROWN FLD ARPT (Id=72219503888,11.0mi)"
