Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
01/01/2018,0,0,0,1,0,1,1,30315
01/02/2018,0,0,1,0,1,0,1,30315
01/03/2018,0,0,1,0,1,0,1,30315
01/04/2018,0,1,0,0,1,0,1,30315
01/05/2018,0,1,2,0,1,2,3,30315
01/06/2018,0,0,0,0,0,0,0,30315
01/07/2018,0,0,0,0,0,0,0,30315
01/08/2018,0,0,0,0,0,0,0,30315
01/09/2018,0,0,3,0,1,2,3,30315
01/10/2018,0,1,0,0,0,1,1,30315
01/11/2018,0,2,7,0,2,7,9,30315
01/12/2018,0,1,4,0,1,4,5,30315
01/13/2018,0,0,1,0,1,0,1,30315
01/14/2018,0,0,0,0,0,0,0,30315
01/15/2018,0,0,1,0,1,0,1,30315
01/16/2018,0,0,2,0,2,0,2,30315
01/17/2018,0,2,2,0,1,3,4,30315
01/18/2018,0,0,0,0,0,0,0,30315
01/19/2018,0,0,0,0,0,0,0,30315
01/20/2018,0,0,1,0,0,1,1,30315
01/21/2018,0,0,2,0,1,1,2,30315
01/22/2018,0,0,1,0,0,1,1,30315
01/23/2018,0,1,3,0,1,3,4,30315
01/24/2018,0,0,0,0,0,0,0,30315
01/25/2018,0,0,1,0,0,1,1,30315
01/26/2018,0,0,2,0,0,2,2,30315
01/27/2018,0,0,2,0,1,1,2,30315
01/28/2018,0,1,0,1,0,2,2,30315
01/29/2018,0,1,2,0,1,2,3,30315
01/30/2018,0,1,3,0,3,1,4,30315
01/31/2018,0,1,0,0,1,0,1,30315
02/01/2018,0,0,3,0,0,3,3,30315
02/02/2018,0,0,1,0,1,0,1,30315
02/03/2018,0,0,1,0,0,1,1,30315
02/04/2018,0,0,0,0,0,0,0,30315
02/05/2018,0,0,3,0,3,0,3,30315
02/06/2018,0,0,0,0,0,0,0,30315
02/07/2018,0,3,2,0,1,4,5,30315
02/08/2018,0,1,3,0,0,4,4,30315
02/09/2018,0,0,4,0,1,3,4,30315
02/10/2018,0,0,3,0,2,1,3,30315
02/11/2018,0,0,1,0,0,1,1,30315
02/12/2018,0,1,5,0,3,3,6,30315
02/13/2018,0,0,1,0,0,1,1,30315
02/14/2018,0,1,0,0,1,0,1,30315
02/15/2018,0,1,0,0,0,1,1,30315
02/16/2018,0,0,2,0,1,1,2,30315
02/17/2018,0,0,2,0,2,0,2,30315
02/18/2018,0,0,1,0,0,1,1,30315
02/19/2018,0,0,2,0,1,1,2,30315
02/20/2018,0,2,2,0,1,3,4,30315
02/21/2018,0,0,0,0,0,0,0,30315
02/22/2018,0,2,1,0,3,0,3,30315
02/23/2018,0,1,2,0,1,2,3,30315
02/24/2018,0,0,0,0,0,0,0,30315
02/25/2018,0,0,3,0,1,2,3,30315
02/26/2018,0,1,1,1,0,3,3,30315
02/27/2018,0,0,0,0,0,0,0,30315
02/28/2018,0,1,2,0,2,1,3,30315
03/01/2018,0,0,1,0,0,1,1,30315
03/02/2018,0,1,0,0,0,1,1,30315
03/03/2018,0,0,0,1,0,1,1,30315
03/04/2018,0,0,1,0,1,0,1,30315
03/05/2018,0,0,1,0,0,1,1,30315
03/06/2018,0,1,2,0,2,1,3,30315
03/07/2018,0,1,1,0,1,1,2,30315
03/08/2018,0,0,1,0,1,0,1,30315
03/09/2018,0,1,5,0,1,5,6,30315
03/10/2018,0,0,1,0,0,1,1,30315
03/11/2018,0,0,1,0,1,0,1,30315
03/12/2018,0,1,4,0,0,5,5,30315
03/13/2018,0,2,0,0,0,2,2,30315
03/14/2018,0,4,2,0,2,4,6,30315
03/15/2018,0,1,3,0,1,3,4,30315
03/16/2018,0,0,3,0,2,1,3,30315
03/17/2018,0,0,2,0,2,0,2,30315
03/18/2018,0,0,2,0,1,1,2,30315
03/19/2018,0,0,3,0,2,1,3,30315
03/20/2018,0,1,2,0,0,3,3,30315
03/21/2018,0,0,4,0,1,3,4,30315
03/22/2018,0,2,3,0,3,2,5,30315
03/23/2018,0,0,0,0,0,0,0,30315
03/24/2018,0,0,0,0,0,0,0,30315
03/25/2018,0,0,3,0,1,2,3,30315
03/26/2018,0,0,1,0,1,0,1,30315
03/27/2018,0,1,1,0,0,2,2,30315
03/28/2018,0,0,2,0,2,0,2,30315
03/29/2018,0,0,0,0,0,0,0,30315
03/30/2018,0,1,0,0,0,1,1,30315
03/31/2018,0,1,0,0,0,1,1,30315
04/01/2018,0,0,0,0,0,0,0,30315
