,Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Date,30318_Accidents
0,,30318, USA,2019-01-01,64.8,55.7,60.9,,,0.2,,5.2,,61.9,93.45,"Rain, Partially cloudy",01/01/2019,
1,,30318, USA,2019-01-02,56.7,48.2,51.8,46.5,,0.4,,7.1,,67.6,95.71,"Rain, Partially cloudy",01/02/2019,3.0
2,,30318, USA,2019-01-03,54.6,50.6,52.3,,,0.3,,9.7,,99.5,98.55,"Rain, Overcast",01/03/2019,2.0
3,,30318, USA,2019-01-04,64.0,45.5,54.3,40.6,,1.0,,15.0,32.6,86.2,89.27,"Rain, Overcast",01/04/2019,2.0
4,,30318, USA,2019-01-05,57.5,43.6,48.7,36.3,,0.0,,16.1,31.1,39.8,66.48,Partially cloudy,01/05/2019,2.0
5,,30318, USA,2019-01-06,68.0,39.7,52.0,43.3,,0.0,,8.2,,3.9,66.18,Clear,01/06/2019,
6,,30318, USA,2019-01-07,68.5,38.6,52.1,,,0.0,,9.8,,9.9,72.38,Clear,01/07/2019,1.0
7,,30318, USA,2019-01-08,64.9,48.1,55.7,49.1,,0.0,,9.9,,49.7,80.6,Partially cloudy,01/08/2019,1.0
8,,30318, USA,2019-01-09,56.4,39.4,46.7,30.8,,0.0,,19.3,34.4,0.0,40.27,Clear,01/09/2019,2.0
9,,30318, USA,2019-01-10,44.6,28.7,36.1,19.7,,0.0,,14.9,32.2,5.2,50.86,Clear,01/10/2019,
10,,30318, USA,2019-01-11,52.8,26.7,40.1,32.8,,0.0,,7.5,,8.7,51.08,Clear,01/11/2019,1.0
11,,30318, USA,2019-01-12,43.3,37.2,41.0,29.9,,0.3,,11.8,,91.7,60.65,"Rain, Overcast",01/12/2019,
12,,30318, USA,2019-01-13,45.6,35.4,40.0,28.7,,0.2,,9.0,,100.0,94.31,"Rain, Overcast",01/13/2019,2.0
13,,30318, USA,2019-01-14,44.9,39.4,42.9,32.4,,0.0,,12.0,,100.0,81.76,Overcast,01/14/2019,
14,,30318, USA,2019-01-15,44.0,32.9,37.6,27.1,,0.0,,11.8,,56.6,74.1,Partially cloudy,01/15/2019,3.0
15,,30318, USA,2019-01-16,52.3,29.6,38.1,22.9,,0.0,,8.2,,18.7,77.91,Clear,01/16/2019,2.0
16,,30318, USA,2019-01-17,46.6,30.8,39.5,41.8,,0.1,,5.0,,56.5,93.68,"Rain, Partially cloudy",01/17/2019,2.0
17,,30318, USA,2019-01-18,56.6,44.8,49.3,44.3,,0.0,,4.7,,76.2,94.7,Overcast,01/18/2019,3.0
18,,30318, USA,2019-01-19,62.4,46.8,55.2,,,0.9,,18.1,,90.3,96.86,"Rain, Overcast",01/19/2019,
19,,30318, USA,2019-01-20,52.6,28.5,35.4,18.8,,0.0,,19.7,37.8,62.3,68.6,Partially cloudy,01/20/2019,1.0
20,,30318, USA,2019-01-21,42.7,20.6,30.1,11.0,,0.0,,14.4,,5.2,47.75,Clear,01/21/2019,
21,,30318, USA,2019-01-22,44.1,30.2,37.6,22.7,,0.0,,11.4,,58.6,36.86,Partially cloudy,01/22/2019,2.0
22,,30318, USA,2019-01-23,67.3,42.2,52.6,35.7,,1.5,,17.4,31.1,96.9,72.08,"Rain, Overcast",01/23/2019,2.0
23,,30318, USA,2019-01-24,54.3,33.8,42.0,27.7,,0.3,,17.2,37.8,63.1,81.59,"Rain, Partially cloudy",01/24/2019,3.0
24,,30318, USA,2019-01-25,46.3,30.0,36.8,24.3,,0.0,,13.3,,4.4,60.78,Clear,01/25/2019,1.0
25,,30318, USA,2019-01-26,51.0,25.5,36.3,25.3,,0.0,,10.3,,2.7,65.77,Clear,01/26/2019,
26,,30318, USA,2019-01-27,50.9,28.8,38.3,,,0.0,,3.6,,14.3,79.47,Clear,01/27/2019,1.0
27,,30318, USA,2019-01-28,57.5,28.0,42.9,42.8,,0.0,,13.5,,43.4,71.51,Partially cloudy,01/28/2019,5.0
28,,30318, USA,2019-01-29,50.5,27.7,40.3,19.0,,0.1,,16.3,29.8,62.1,65.22,"Rain, Partially cloudy",01/29/2019,
29,,30318, USA,2019-01-30,42.6,21.5,31.3,16.5,,0.0,,15.1,29.8,7.6,49.92,Clear,01/30/2019,2.0
30,,30318, USA,2019-01-31,50.7,25.1,36.3,43.5,,0.0,,7.7,,16.3,55.76,Clear,01/31/2019,1.0
31,,30318, USA,2019-02-01,60.7,27.6,42.0,40.0,,0.0,,8.1,,6.3,61.79,Clear,02/01/2019,
32,,30318, USA,2019-02-02,65.2,31.1,49.4,,,0.0,,7.5,,45.7,69.41,Partially cloudy,02/02/2019,
33,,30318, USA,2019-02-03,62.8,44.3,54.6,,,0.0,,6.8,,73.4,76.44,Partially cloudy,02/03/2019,2.0
34,,30318, USA,2019-02-04,65.4,38.1,51.1,43.4,,0.0,,6.0,,52.8,86.59,Partially cloudy,02/04/2019,
35,,30318, USA,2019-02-05,72.3,53.4,61.5,,,0.0,,5.1,,76.1,85.72,Overcast,02/05/2019,3.0
36,,30318, USA,2019-02-06,70.1,55.3,62.9,,,0.1,,9.2,,82.5,93.24,"Rain, Overcast",02/06/2019,4.0
37,,30318, USA,2019-02-07,79.5,62.5,69.8,,,0.0,,15.4,31.1,47.3,73.94,Partially cloudy,02/07/2019,4.0
38,,30318, USA,2019-02-08,68.4,41.7,52.8,36.1,,0.0,,17.4,32.2,49.1,57.12,Partially cloudy,02/08/2019,
39,,30318, USA,2019-02-09,54.6,37.0,44.6,31.2,,0.0,,12.5,,61.6,41.87,Partially cloudy,02/09/2019,
40,,30318, USA,2019-02-10,45.7,37.2,40.4,30.5,,0.1,,11.8,,80.3,65.6,"Rain, Overcast",02/10/2019,1.0
41,,30318, USA,2019-02-11,55.3,37.5,45.6,33.5,,0.1,,5.5,,95.4,97.81,"Rain, Overcast",02/11/2019,4.0
42,,30318, USA,2019-02-12,68.3,48.6,57.3,42.8,,1.0,,16.8,35.6,81.9,93.3,"Rain, Overcast",02/12/2019,1.0
43,,30318, USA,2019-02-13,54.9,36.4,44.5,31.7,,0.0,,14.6,32.2,4.2,51.11,Clear,02/13/2019,2.0
44,,30318, USA,2019-02-14,64.4,30.5,47.5,,,0.0,,12.3,,16.8,56.69,Clear,02/14/2019,4.0
45,,30318, USA,2019-02-15,59.9,48.0,54.9,48.0,,0.2,,8.4,,82.5,82.03,"Rain, Overcast",02/15/2019,3.0
46,,30318, USA,2019-02-16,60.6,47.4,54.6,46.5,,0.1,,11.1,,78.0,90.33,"Rain, Overcast",02/16/2019,
47,,30318, USA,2019-02-17,50.6,45.4,48.0,42.9,,0.2,,8.6,,86.5,96.18,"Rain, Overcast",02/17/2019,1.0
48,,30318, USA,2019-02-18,57.5,45.5,49.0,40.8,,0.1,,13.5,,56.2,70.81,"Rain, Partially cloudy",02/18/2019,
49,,30318, USA,2019-02-19,46.9,37.6,41.5,29.1,,1.7,,14.0,,99.4,83.76,"Rain, Overcast",02/19/2019,
50,,30318, USA,2019-02-20,44.1,38.5,41.6,31.9,,0.5,,11.6,,99.3,97.41,"Rain, Overcast",02/20/2019,1.0
51,,30318, USA,2019-02-21,60.4,42.6,50.6,38.2,,0.7,,7.2,,94.6,98.18,"Rain, Overcast",02/21/2019,4.0
52,,30318, USA,2019-02-22,56.4,51.3,53.3,,,0.1,,11.8,,92.6,98.79,"Rain, Overcast",02/22/2019,2.0
