,Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Date,30312_Accidents
0,,30312, USA,2019-01-01,65.1,56.4,61.5,,,0.2,,6.1,,74.1,90.3,"Rain, Partially cloudy",01/01/2019,2.0
1,,30312, USA,2019-01-02,57.0,49.0,52.4,46.3,,0.4,,7.3,,75.9,91.8,"Rain, Overcast",01/02/2019,1.0
2,,30312, USA,2019-01-03,54.3,50.1,52.5,,,0.3,,10.6,,99.5,95.95,"Rain, Overcast",01/03/2019,4.0
3,,30312, USA,2019-01-04,64.8,45.1,54.5,40.1,,1.2,,18.9,33.6,87.3,86.19,"Rain, Overcast",01/04/2019,4.0
4,,30312, USA,2019-01-05,57.8,43.7,48.8,36.4,,0.0,,17.1,33.3,40.2,64.92,Partially cloudy,01/05/2019,1.0
5,,30312, USA,2019-01-06,68.5,41.6,52.8,38.2,,0.0,,7.6,,8.0,62.19,Clear,01/06/2019,2.0
6,,30312, USA,2019-01-07,67.9,40.8,53.3,45.1,,0.0,,10.3,,26.8,67.52,Partially cloudy,01/07/2019,
7,,30312, USA,2019-01-08,64.5,48.9,56.1,48.1,,0.0,,10.7,,61.0,77.43,Partially cloudy,01/08/2019,5.0
8,,30312, USA,2019-01-09,56.1,39.3,46.7,30.3,,0.0,,20.4,33.5,3.2,41.08,Clear,01/09/2019,4.0
9,,30312, USA,2019-01-10,44.6,29.1,36.2,19.2,,0.0,,16.5,34.4,15.9,50.48,Clear,01/10/2019,4.0
10,,30312, USA,2019-01-11,53.0,28.0,40.3,23.9,,0.0,,7.7,,17.5,49.96,Clear,01/11/2019,4.0
11,,30312, USA,2019-01-12,42.8,37.2,40.7,29.3,,0.3,,12.6,,94.6,60.15,"Rain, Overcast",01/12/2019,3.0
12,,30312, USA,2019-01-13,45.9,35.1,40.1,28.0,,0.2,,9.9,,99.7,91.84,"Rain, Overcast",01/13/2019,1.0
13,,30312, USA,2019-01-14,45.3,39.3,43.1,31.8,,0.0,,13.4,,99.6,79.38,Overcast,01/14/2019,7.0
14,,30312, USA,2019-01-15,44.3,32.9,37.8,27.1,,0.0,,12.5,,61.5,72.75,Partially cloudy,01/15/2019,4.0
15,,30312, USA,2019-01-16,52.5,29.7,38.6,22.2,,0.0,,9.2,,23.2,74.8,Clear,01/16/2019,5.0
16,,30312, USA,2019-01-17,47.8,32.0,40.4,42.1,,0.1,,5.1,,65.4,88.93,"Rain, Partially cloudy",01/17/2019,7.0
17,,30312, USA,2019-01-18,56.4,45.8,49.7,44.3,,0.0,,4.7,,77.5,91.37,Overcast,01/18/2019,4.0
18,,30312, USA,2019-01-19,62.4,48.2,55.3,,,1.0,,14.5,,85.7,94.67,"Rain, Overcast",01/19/2019,4.0
19,,30312, USA,2019-01-20,52.7,28.7,35.6,17.9,,0.0,,22.4,37.8,64.0,67.57,Partially cloudy,01/20/2019,4.0
20,,30312, USA,2019-01-21,42.8,21.0,30.8,11.1,,0.0,,15.6,,12.0,45.93,Clear,01/21/2019,2.0
21,,30312, USA,2019-01-22,44.1,29.8,37.4,21.3,,0.0,,11.7,,64.9,37.87,Partially cloudy,01/22/2019,
22,,30312, USA,2019-01-23,66.8,41.8,52.6,35.8,,1.5,,16.2,35.6,97.8,70.69,"Rain, Overcast",01/23/2019,4.0
23,,30312, USA,2019-01-24,53.8,34.1,42.3,27.2,,0.3,,20.5,39.2,63.7,79.37,"Rain, Partially cloudy",01/24/2019,4.0
24,,30312, USA,2019-01-25,46.2,30.4,37.0,23.5,,0.0,,14.7,,17.4,59.09,Clear,01/25/2019,3.0
25,,30312, USA,2019-01-26,50.6,26.2,37.0,22.6,,0.0,,11.4,,8.3,61.91,Clear,01/26/2019,1.0
26,,30312, USA,2019-01-27,50.5,30.5,39.6,46.9,,0.0,,4.7,,32.4,73.76,Partially cloudy,01/27/2019,1.0
27,,30312, USA,2019-01-28,57.0,30.2,43.9,44.8,,0.0,,12.8,,45.2,68.07,Partially cloudy,01/28/2019,
