,Location,Address,Country,Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
0,,30315, USA,01/01/2019,65.4,56.9,62.0,,,0.2,,6.3,,80.4,88.67,"Rain, Overcast",0,0,1,0,0,1,1,30315
1,,30315, USA,01/02/2019,57.3,49.2,52.9,46.3,,0.4,,7.6,,81.9,89.7,"Rain, Overcast",0,0,1,0,0,1,1,30315
2,,30315, USA,01/03/2019,54.6,50.2,52.7,,,0.3,,11.8,,99.5,94.46,"Rain, Overcast",0,0,3,0,0,3,3,30315
3,,30315, USA,01/04/2019,65.2,45.1,54.7,39.9,,1.3,,20.7,33.8,87.0,84.61,"Rain, Overcast",0,1,3,0,0,4,4,30315
4,,30315, USA,01/05/2019,58.3,43.8,49.1,36.8,,0.0,,18.4,33.3,39.5,63.8,Partially cloudy,0,0,0,0,0,0,0,30315
5,,30315, USA,01/06/2019,68.7,42.2,53.4,38.5,,0.0,,7.5,,13.0,60.34,Clear,0,0,1,0,1,0,1,30315
6,,30315, USA,01/07/2019,68.1,42.2,54.2,46.1,,0.0,,10.6,,43.4,64.78,Partially cloudy,0,1,0,0,1,0,1,30315
7,,30315, USA,01/08/2019,64.4,49.7,56.5,48.4,,0.0,,11.4,,70.6,75.76,Partially cloudy,0,1,0,0,1,0,1,30315
8,,30315, USA,01/09/2019,56.1,39.6,46.9,30.6,,0.0,,20.5,34.0,5.2,41.37,Clear,0,3,3,0,1,5,6,30315
9,,30315, USA,01/10/2019,44.7,29.4,36.5,19.2,,0.0,,17.5,34.4,25.8,49.96,Partially cloudy,0,2,0,0,1,1,2,30315
10,,30315, USA,01/11/2019,53.3,29.0,40.7,23.7,,0.0,,7.9,,25.4,48.96,Partially cloudy,0,0,1,0,0,1,1,30315
11,,30315, USA,01/12/2019,43.3,37.6,41.0,29.1,,0.3,,14.2,,96.1,59.73,"Rain, Overcast",0,0,1,0,0,1,1,30315
12,,30315, USA,01/13/2019,46.7,35.1,40.4,27.6,,0.3,,11.3,,99.5,90.32,"Rain, Overcast",0,0,1,1,0,2,2,30315
13,,30315, USA,01/14/2019,45.6,39.6,43.3,31.8,,0.0,,13.8,,99.3,78.25,Overcast,0,1,0,0,1,0,1,30315
14,,30315, USA,01/15/2019,44.5,33.0,38.0,27.1,,0.0,,12.9,,66.1,71.95,Partially cloudy,0,0,4,0,0,4,4,30315
