,Location,Address,Country,Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
0,,30318, USA,01/01/2019,64.8,55.7,60.9,,,0.2,,5.2,,61.9,93.45,"Rain, Partially cloudy",0,0,0,0,0,0,0,30318
1,,30318, USA,01/02/2019,56.7,48.2,51.8,46.5,,0.4,,7.1,,67.6,95.71,"Rain, Partially cloudy",0,1,2,0,1,2,3,30318
2,,30318, USA,01/03/2019,54.6,50.6,52.3,,,0.3,,9.7,,99.5,98.55,"Rain, Overcast",0,1,1,0,0,2,2,30318
3,,30318, USA,01/04/2019,64.0,45.5,54.3,40.6,,1.0,,15.0,32.6,86.2,89.27,"Rain, Overcast",0,0,2,0,0,2,2,30318
4,,30318, USA,01/05/2019,57.5,43.6,48.7,36.3,,0.0,,16.1,31.1,39.8,66.48,Partially cloudy,0,0,2,0,1,1,2,30318
5,,30318, USA,01/06/2019,68.0,39.7,52.0,43.3,,0.0,,8.2,,3.9,66.18,Clear,0,0,0,0,0,0,0,30318
6,,30318, USA,01/07/2019,68.5,38.6,52.1,,,0.0,,9.8,,9.9,72.38,Clear,0,1,0,0,0,1,1,30318
7,,30318, USA,01/08/2019,64.9,48.1,55.7,49.1,,0.0,,9.9,,49.7,80.6,Partially cloudy,0,1,0,0,1,0,1,30318
8,,30318, USA,01/09/2019,56.4,39.4,46.7,30.8,,0.0,,19.3,34.4,0.0,40.27,Clear,0,2,0,0,0,2,2,30318
9,,30318, USA,01/10/2019,44.6,28.7,36.1,19.7,,0.0,,14.9,32.2,5.2,50.86,Clear,0,0,0,0,0,0,0,30318
10,,30318, USA,01/11/2019,52.8,26.7,40.1,32.8,,0.0,,7.5,,8.7,51.08,Clear,0,1,0,0,1,0,1,30318
11,,30318, USA,01/12/2019,43.3,37.2,41.0,29.9,,0.3,,11.8,,91.7,60.65,"Rain, Overcast",0,0,0,0,0,0,0,30318
12,,30318, USA,01/13/2019,45.6,35.4,40.0,28.7,,0.2,,9.0,,100.0,94.31,"Rain, Overcast",0,0,2,0,0,2,2,30318
13,,30318, USA,01/14/2019,44.9,39.4,42.9,32.4,,0.0,,12.0,,100.0,81.76,Overcast,0,0,0,0,0,0,0,30318
14,,30318, USA,01/15/2019,44.0,32.9,37.6,27.1,,0.0,,11.8,,56.6,74.1,Partially cloudy,0,1,2,0,0,3,3,30318
15,,30318, USA,01/16/2019,52.3,29.6,38.1,22.9,,0.0,,8.2,,18.7,77.91,Clear,0,2,0,0,1,1,2,30318
16,,30318, USA,01/17/2019,46.6,30.8,39.5,41.8,,0.1,,5.0,,56.5,93.68,"Rain, Partially cloudy",0,2,0,0,1,1,2,30318
17,,30318, USA,01/18/2019,56.6,44.8,49.3,44.3,,0.0,,4.7,,76.2,94.7,Overcast,0,2,1,0,0,3,3,30318
18,,30318, USA,01/19/2019,62.4,46.8,55.2,,,0.9,,18.1,,90.3,96.86,"Rain, Overcast",0,0,0,0,0,0,0,30318
19,,30318, USA,01/20/2019,52.6,28.5,35.4,18.8,,0.0,,19.7,37.8,62.3,68.6,Partially cloudy,0,0,1,0,0,1,1,30318
20,,30318, USA,01/21/2019,42.7,20.6,30.1,11.0,,0.0,,14.4,,5.2,47.75,Clear,0,0,0,0,0,0,0,30318
21,,30318, USA,01/22/2019,44.1,30.2,37.6,22.7,,0.0,,11.4,,58.6,36.86,Partially cloudy,0,1,1,0,0,2,2,30318
22,,30318, USA,01/23/2019,67.3,42.2,52.6,35.7,,1.5,,17.4,31.1,96.9,72.08,"Rain, Overcast",0,1,1,0,0,2,2,30318
23,,30318, USA,01/24/2019,54.3,33.8,42.0,27.7,,0.3,,17.2,37.8,63.1,81.59,"Rain, Partially cloudy",0,3,0,0,1,2,3,30318
24,,30318, USA,01/25/2019,46.3,30.0,36.8,24.3,,0.0,,13.3,,4.4,60.78,Clear,0,1,0,0,0,1,1,30318
25,,30318, USA,01/26/2019,51.0,25.5,36.3,25.3,,0.0,,10.3,,2.7,65.77,Clear,0,0,0,0,0,0,0,30318
26,,30318, USA,01/27/2019,50.9,28.8,38.3,,,0.0,,3.6,,14.3,79.47,Clear,0,0,1,0,0,1,1,30318
27,,30318, USA,01/28/2019,57.5,28.0,42.9,42.8,,0.0,,13.5,,43.4,71.51,Partially cloudy,0,2,3,0,0,5,5,30318
28,,30318, USA,01/29/2019,50.5,27.7,40.3,19.0,,0.1,,16.3,29.8,62.1,65.22,"Rain, Partially cloudy",0,0,0,0,0,0,0,30318
29,,30318, USA,01/30/2019,42.6,21.5,31.3,16.5,,0.0,,15.1,29.8,7.6,49.92,Clear,0,2,0,0,0,2,2,30318
30,,30318, USA,01/31/2019,50.7,25.1,36.3,43.5,,0.0,,7.7,,16.3,55.76,Clear,0,0,1,0,0,1,1,30318
