Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30318, USA",,7/1/2018,85,72.8,78.5,,91.5,0.1,,9.9,,51.8,82.75,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/2/2018,87.6,73.5,79.5,,93.8,0,,12.5,,62.3,81.22,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/3/2018,91.4,72.4,82.5,,95.9,0,,9.4,,23,71.22,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/4/2018,90.2,72.1,80.5,,96.8,0.5,,10.1,,46.5,78.55,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/5/2018,87.6,72.6,80.1,,93.8,0.1,,9.8,,45.6,79.43,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/6/2018,89.4,72.2,77.6,,96.6,1.2,,20.5,39.1,33.9,84.55,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/7/2018,84.6,70.4,76.2,,89.5,0.4,,9.6,,50,85.48,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/8/2018,83.7,69.7,76.6,,85.9,0,,13.5,,62.7,72.45,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/9/2018,88.1,65.3,77.2,,90.1,0,,6.2,,7.9,68.63,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/10/2018,90.9,69.5,80.5,,94.7,0,,8.4,,16.3,70.49,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/11/2018,92.8,72.5,82.5,,99,0,,6.4,,22.6,71.66,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/12/2018,92,74.2,83.4,,99.9,0,,9,,13.3,72.58,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/13/2018,88.8,74.4,80.5,,98.1,0,,11.5,,58.8,82.14,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/14/2018,87.6,74.7,78.3,,96.3,1.5,,12.7,,77,87.69,"Rain, Overcast","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/15/2018,89.8,73.4,79.8,,98.4,0.4,,6.4,,61.4,82.77,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/16/2018,85.4,73.8,78.3,,95.3,0.7,,9.4,31.1,60.6,88.58,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/17/2018,90.8,72.8,80.4,,96.8,0,,10.2,,50.4,79.92,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/18/2018,91.7,74.4,82.2,,97.2,0,,7.9,,22.4,73.55,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/19/2018,89.4,71.9,79.3,,96,0,,12.2,,37.8,80.1,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/20/2018,87.3,74.4,79.3,,91.9,0,,9.4,,71.1,77.32,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/21/2018,87.2,67.6,77.5,,94.9,1,,9.8,31.8,45.2,82.22,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/22/2018,86.1,69.3,76.8,,88.1,0.1,,12.3,,25,75.52,"Rain, Clear","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/23/2018,84.5,67.3,75,,87.6,0.2,,6.6,,63.9,81.15,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/24/2018,84.3,70.8,76,,88.5,0.4,,6.5,,62.3,84.68,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
,"30318, USA",,7/25/2018,88,69.6,78.5,,92.4,0,,10.3,,26.1,76.35,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.9mi), DEKALB-PEACHTREE AIRPORT (Id=72219653863,9.9mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,10.0mi)"
