,Location,Address,Country,Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
0,,30308, USA,01/01/2019,64.9,56.1,61.2,,,0.2,,6.0,,70.7,91.08,"Rain, Partially cloudy",0,0,0,0,0,0,0,30308
1,,30308, USA,01/02/2019,56.8,48.8,52.1,46.4,,0.4,,7.2,,72.8,92.82,"Rain, Partially cloudy",0,1,3,0,1,3,4,30308
2,,30308, USA,01/03/2019,54.4,50.1,52.3,,,0.3,,9.9,,99.4,96.68,"Rain, Overcast",0,1,1,0,0,2,2,30308
3,,30308, USA,01/04/2019,64.6,45.0,54.3,40.2,,1.2,,18.1,33.6,87.5,86.99,"Rain, Overcast",0,0,2,0,0,2,2,30308
4,,30308, USA,01/05/2019,57.5,43.6,48.6,36.2,,0.0,,17.0,33.3,40.7,65.53,Partially cloudy,0,0,1,0,0,1,1,30308
5,,30308, USA,01/06/2019,68.3,41.1,52.5,38.1,,0.0,,7.7,,5.5,63.1,Clear,0,0,1,0,0,1,1,30308
6,,30308, USA,01/07/2019,67.7,40.0,52.8,44.7,,0.0,,10.1,,18.2,68.92,Clear,0,2,0,0,1,1,2,30308
7,,30308, USA,01/08/2019,64.5,48.4,55.8,47.9,,0.0,,10.4,,56.0,78.26,Partially cloudy,0,1,0,0,1,0,1,30308
8,,30308, USA,01/09/2019,56.1,39.2,46.6,30.0,,0.0,,20.4,33.3,2.2,40.91,Clear,0,2,1,0,1,2,3,30308
9,,30308, USA,01/10/2019,44.5,28.9,36.1,19.2,,0.0,,16.1,34.4,10.9,50.76,Clear,0,1,0,0,0,1,1,30308
10,,30308, USA,01/11/2019,52.9,27.5,40.0,29.5,,0.0,,7.6,,13.5,50.51,Clear,0,1,1,0,1,1,2,30308
11,,30308, USA,01/12/2019,42.7,36.9,40.5,29.5,,0.3,,12.3,,93.9,60.38,"Rain, Overcast",0,0,2,0,1,1,2,30308
12,,30308, USA,01/13/2019,45.6,35.0,39.9,28.2,,0.2,,9.5,,99.8,92.61,"Rain, Overcast",0,0,0,0,0,0,0,30308
13,,30308, USA,01/14/2019,45.3,39.2,42.9,31.7,,0.0,,13.2,,99.7,79.92,Overcast,0,3,1,0,2,2,4,30308
14,,30308, USA,01/15/2019,44.2,32.8,37.7,27.1,,0.0,,12.8,,59.1,73.13,Partially cloudy,0,0,0,0,0,0,0,30308
15,,30308, USA,01/16/2019,52.3,29.6,38.4,21.9,,0.0,,9.1,,19.0,75.53,Clear,0,5,1,0,2,4,6,30308
16,,30308, USA,01/17/2019,47.8,31.5,40.1,41.8,,0.1,,5.0,,61.7,90.12,"Rain, Partially cloudy",0,2,0,0,0,2,2,30308
17,,30308, USA,01/18/2019,56.3,45.6,49.5,43.9,,0.0,,4.8,,75.6,92.24,Overcast,0,3,4,0,1,6,7,30308
18,,30308, USA,01/19/2019,62.2,47.7,55.1,,,0.9,,13.9,,87.5,95.35,"Rain, Overcast",0,0,3,0,0,3,3,30308
19,,30308, USA,01/20/2019,52.6,28.5,35.5,17.8,,0.0,,21.4,37.8,63.8,67.8,Partially cloudy,0,0,0,0,0,0,0,30308
20,,30308, USA,01/21/2019,42.7,20.8,30.6,11.1,,0.0,,15.6,,8.2,46.34,Clear,0,0,2,0,0,2,2,30308
21,,30308, USA,01/22/2019,43.9,29.6,37.2,21.7,,0.0,,10.9,,62.5,37.63,Partially cloudy,0,0,1,0,0,1,1,30308
22,,30308, USA,01/23/2019,66.7,41.7,52.3,35.7,,1.5,,16.0,35.6,97.6,70.94,"Rain, Overcast",0,1,2,0,1,2,3,30308
23,,30308, USA,01/24/2019,53.7,34.0,42.2,27.1,,0.3,,19.8,39.1,63.3,79.91,"Rain, Partially cloudy",0,2,0,0,2,0,2,30308
24,,30308, USA,01/25/2019,45.9,30.1,36.8,23.3,,0.0,,14.4,,11.9,59.6,Clear,0,1,0,0,0,1,1,30308
25,,30308, USA,01/26/2019,50.3,25.8,36.7,22.9,,0.0,,10.9,,5.7,62.82,Clear,0,0,0,0,0,0,0,30308
26,,30308, USA,01/27/2019,50.5,29.7,39.1,46.7,,0.0,,4.6,,23.2,75.25,Clear,0,0,0,0,0,0,0,30308
27,,30308, USA,01/28/2019,57.0,29.3,43.5,44.4,,0.0,,13.0,,44.5,69.01,Partially cloudy,0,2,2,0,2,2,4,30308
28,,30308, USA,01/29/2019,50.3,27.9,40.4,18.3,,0.1,,16.4,29.8,64.0,64.65,"Rain, Partially cloudy",0,0,1,0,0,1,1,30308
29,,30308, USA,01/30/2019,42.7,22.1,31.5,15.6,,0.0,,15.1,30.3,14.2,49.17,Clear,0,0,1,0,0,1,1,30308
30,,30308, USA,01/31/2019,51.0,25.5,36.6,25.7,,0.0,,8.6,,18.3,54.2,Clear,0,1,1,0,1,1,2,30308
31,,30308, USA,02/01/2019,60.6,29.2,42.9,41.5,,0.0,,7.6,,14.2,57.17,Clear,1,2,0,0,2,1,3,30308
32,,30308, USA,02/02/2019,64.8,33.2,50.2,31.9,,0.0,,7.2,,47.9,65.88,Partially cloudy,0,0,2,0,0,2,2,30308
33,,30308, USA,02/03/2019,63.2,46.4,55.1,,,0.0,,6.9,,71.9,72.56,Partially cloudy,0,0,0,0,0,0,0,30308
34,,30308, USA,02/04/2019,65.1,39.5,52.1,,,0.0,,6.1,,50.5,83.3,Partially cloudy,0,1,0,0,1,0,1,30308
35,,30308, USA,02/05/2019,71.8,54.0,61.6,,,0.0,,5.9,,76.9,83.49,Overcast,0,1,0,0,0,1,1,30308
36,,30308, USA,02/06/2019,69.9,56.3,63.0,,,0.1,,9.6,,84.3,91.95,"Rain, Overcast",0,1,1,0,0,2,2,30308
