Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30309, USA",,10/1/2018,83.3,69.1,75,,84.3,0,,7.6,,41.1,74.72,Partially cloudy
,"30309, USA",,10/2/2018,84.2,63.9,73.4,,84.9,0,,4.9,,15.7,73.48,Clear
,"30309, USA",,10/3/2018,86.7,64,74.5,,87.6,0,,5.1,,19.5,74.66,Clear
,"30309, USA",,10/4/2018,88.1,65.8,76.2,,89.5,0,,7.1,,9.6,73.37,Clear
,"30309, USA",,10/5/2018,90.1,66.2,77.7,,91.8,0,,6,,22.3,72.94,Clear
,"30309, USA",,10/6/2018,89.4,68.3,77.5,,90.9,0,,6.6,,20.3,75.56,Clear
,"30309, USA",,10/7/2018,86.9,69.2,77.3,,88.3,0,,8.4,,40.8,71.37,Partially cloudy
,"30309, USA",,10/8/2018,83.2,71,76.7,,86.5,0,,12.3,,50.2,74.5,Partially cloudy
,"30309, USA",,10/9/2018,79.8,70.4,74.1,,,0.1,,12.5,,88.6,83.02,"Rain, Overcast"
,"30309, USA",,10/10/2018,81.9,71.3,74.9,,86,2.3,,13,,94.2,91.15,"Rain, Overcast"
,"30309, USA",,10/11/2018,79,61.4,72.4,,,2.4,,19.2,35.6,57.9,76.72,"Rain, Partially cloudy"
,"30309, USA",,10/12/2018,72.8,50.9,60.4,,,0,,13,,6.4,61.8,Clear
,"30309, USA",,10/13/2018,72.3,54.3,61.3,,,0,,9.2,,22.2,68.39,Clear
,"30309, USA",,10/14/2018,79,56.6,66.2,,,0,,8.7,,23.2,73.21,Clear
,"30309, USA",,10/15/2018,80.3,61.2,68.9,,83,0,,5.4,,49.8,86.26,Partially cloudy
,"30309, USA",,10/16/2018,80,65.8,70.4,,82.7,0,,10.7,,64.4,86.8,Partially cloudy
,"30309, USA",,10/17/2018,73.3,60.4,65.9,,,0,,10.4,,53.7,72.25,Partially cloudy
,"30309, USA",,10/18/2018,71.9,52.5,61.7,,,0,,8.1,,11.6,61.96,Clear
